,Total Basic Assistance,Assistance Under Prior Law,Non-Assistance Under Prior Law,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,2937561678.0,688989820.0,580107979.0,2800758945.0,357089805.0,1407389317.0,60699881.0,2328516.0,342597893.0,332630856.0,204362013.0,217263286.0,135885828.0,127385462.0,1155146738.0,93897740.0,1361264179.0,805123556.0,170078572.0,18701177.0,13799263241.0
ALABAMA,17262940.0,7295669.0,0.0,7354001.0,1421854.0,6863.0,0.0,0.0,0.0,8353326.0,873299.0,673712.0,552897.0,3307450.0,8252288.0,1905687.0,4478360.0,8119866.0,606666.0,0.0,70464878.0
ALASKA,13933127.0,0.0,0.0,9918356.0,208501.0,2663321.0,0.0,0.0,0.0,0.0,0.0,1500537.0,2842350.0,0.0,0.0,0.0,3953324.0,0.0,10879.0,0.0,35030395.0
ARIZONA,43598588.0,14691349.0,0.0,682232.0,9976231.0,0.0,0.0,0.0,0.0,9623158.0,7227262.0,0.0,0.0,0.0,98874052.0,0.0,12328140.0,6304730.0,3583262.0,0.0,206889004.0
ARKANSAS,4912258.0,0.0,4779900.0,13861293.0,913847.0,2659737.0,0.0,0.0,0.0,0.0,0.0,520588.0,1529738.0,3573775.0,275547.0,0.0,10621208.0,38128.0,1879149.0,0.0,45565168.0
CALIFORNIA,377435976.0,275119328.0,0.0,1712425648.0,184389997.0,129615131.0,0.0,0.0,0.0,226744.0,37074728.0,0.0,14570043.0,0.0,0.0,6782628.0,302723642.0,189669154.0,41488746.0,0.0,3271521765.0
COLORADO,67453254.0,0.0,0.0,10928672.0,6908091.0,437208.0,75407.0,28851.0,0.0,3277783.0,2017806.0,1107316.0,500431.0,314945.0,4682493.0,508209.0,15155146.0,33729879.0,1885677.0,0.0,149011168.0
CONNECTICUT,0.0,0.0,20945310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18023353.0,0.0,36622369.0,14081056.0,70619239.0,0.0,14912192.0,64025377.0,0.0,0.0,239228896.0
DELAWARE,25900.0,0.0,0.0,945919.0,0.0,14957152.0,0.0,0.0,0.0,992872.0,0.0,0.0,0.0,0.0,0.0,0.0,4807461.0,318979.0,15324.0,0.0,22063607.0
DIST. OF COLUMBIA,42109638.0,0.0,0.0,24780974.0,0.0,36947695.0,0.0,0.0,0.0,0.0,335000.0,0.0,1025929.0,0.0,0.0,0.0,9013499.0,1771164.0,711044.0,0.0,116694943.0
FLORIDA,24977967.0,0.0,0.0,46106428.0,4644842.0,68228597.0,0.0,0.0,0.0,950065.0,20327946.0,0.0,576393.0,0.0,125966065.0,0.0,53503049.0,0.0,592395.0,0.0,345873747.0
GEORGIA,61375619.0,31406069.0,0.0,8572626.0,2709688.0,0.0,0.0,0.0,0.0,5428798.0,18455708.0,15525170.0,6272890.0,0.0,143641952.0,0.0,13431137.0,8557957.0,2071898.0,0.0,317449512.0
HAWAII,16160386.0,0.0,0.0,759399.0,922778.0,1000000.0,0.0,251505.0,0.0,827696.0,53130.0,755671.0,3991067.0,185005.0,1678400.0,4021625.0,5935636.0,4479995.0,1746285.0,0.0,42768578.0
IDAHO,1586246.0,579223.0,11133040.0,1944856.0,183483.0,4313163.0,1054988.0,0.0,0.0,1372188.0,63195.0,0.0,405136.0,0.0,0.0,0.0,4309979.0,0.0,675276.0,0.0,27620773.0
ILLINOIS,37425883.0,0.0,0.0,16094520.0,767681.0,113084549.0,0.0,453581.0,90136134.0,434644.0,0.0,11786164.0,119111.0,0.0,239682123.0,0.0,0.0,71615943.0,25939.0,0.0,581626272.0
INDIANA,11886387.0,0.0,0.0,6364812.0,841685.0,41283900.0,0.0,0.0,0.0,191416.0,0.0,7623808.0,3956663.0,38085615.0,9169443.0,24440522.0,14624515.0,0.0,13038007.0,0.0,171506773.0
IOWA,2465909.0,0.0,0.0,3981255.0,333001.0,22020297.0,0.0,0.0,0.0,392387.0,0.0,0.0,1455363.0,11960.0,53820059.0,0.0,3708735.0,2423058.0,566550.0,0.0,91178574.0
KANSAS ,11900853.0,24550447.0,3837879.0,737352.0,1646382.0,0.0,0.0,0.0,0.0,0.0,4454657.0,19481605.0,0.0,1266976.0,6146039.0,5972918.0,8898091.0,4030011.0,1519889.0,0.0,94443099.0
KENTUCKY,153716115.0,0.0,0.0,19582704.0,0.0,5071924.0,0.0,0.0,0.0,0.0,6236707.0,0.0,0.0,0.0,0.0,0.0,9860074.0,0.0,1341074.0,0.0,195808598.0
LOUISIANA ,17403974.0,0.0,7850633.0,2330444.0,961045.0,0.0,34552565.0,0.0,0.0,0.0,5046123.0,810000.0,1185723.0,0.0,19780202.0,2158285.0,15292033.0,2027572.0,1647438.0,0.0,111046037.0
MAINE,11671504.0,0.0,0.0,9070231.0,2161591.0,11534524.0,594838.0,287670.0,7353665.0,2375596.0,2355838.0,7592970.0,0.0,0.0,7980266.0,1821004.0,3408141.0,2179139.0,110616.0,0.0,70497593.0
MARYLAND,111597376.0,0.0,0.0,29316229.0,5125776.0,6026132.0,0.0,0.0,0.0,2555081.0,0.0,0.0,0.0,1275913.0,16894358.0,1026850.0,25541838.0,7738714.0,3917684.0,0.0,211015951.0
MASSACHUSETTS,10500000.0,0.0,0.0,164829794.0,0.0,198232364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373562158.0
MICHIGAN,73831809.0,29915877.0,130012.0,3803402.0,31579528.0,0.0,0.0,0.0,0.0,10548663.0,11323611.0,114091974.0,0.0,0.0,41788992.0,0.0,51839545.0,269600600.0,5676782.0,0.0,644130795.0
MINNESOTA,51039030.0,0.0,0.0,51322972.0,2203064.0,0.0,0.0,0.0,24464000.0,23665478.0,0.0,0.0,1312944.0,0.0,0.0,12480983.0,27105027.0,0.0,667704.0,4458722.0,198719924.0
MISSISSIPPI,4966800.0,0.0,0.0,6122532.0,3024647.0,0.0,0.0,0.0,0.0,0.0,403963.0,0.0,0.0,26326311.0,27088460.0,0.0,10387730.0,0.0,901248.0,0.0,79221691.0
MISSOURI,27529999.0,0.0,106116386.0,37148182.0,252877.0,14145647.0,0.0,0.0,0.0,0.0,1507586.0,0.0,1050000.0,2670737.0,0.0,0.0,4280508.0,0.0,0.0,0.0,194701922.0
MONTANA,16800975.0,1907523.0,3964319.0,197853.0,7247.0,623145.0,0.0,11742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4069763.0,820355.0,595110.0,0.0,28998032.0
NEBRASKA,18047866.0,0.0,0.0,9238947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901257.0,0.0,3496002.0,0.0,437661.0,0.0,36121733.0
NEVADA,13764119.0,0.0,0.0,1924850.0,34843.0,11846.0,0.0,0.0,0.0,45821.0,629359.0,0.0,123130.0,0.0,2472693.0,0.0,5004228.0,11018037.0,5328589.0,0.0,40357515.0
NEW HAMPSHIRE,23003339.0,8841295.0,0.0,4515665.0,372522.0,100.0,0.0,0.0,0.0,2809595.0,1678070.0,0.0,114469.0,0.0,0.0,1600613.0,4057656.0,0.0,1261283.0,1121124.0,49375731.0
NEW JERSEY,39504191.0,6840000.0,0.0,36902977.0,5471179.0,23250625.0,0.0,19726.0,131000000.0,2541586.0,4486159.0,20455242.0,1950000.0,5268607.0,0.0,0.0,29512953.0,0.0,1108525.0,0.0,308311770.0
NEW MEXICO,39232761.0,0.0,0.0,16566555.0,605842.0,0.0,14299998.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,316818.0,5000000.0,4137501.0,0.0,622754.0,0.0,84282229.0
NEW YORK ,949552301.0,127784827.0,56999290.0,157405808.0,3328749.0,149.0,0.0,44307.0,0.0,197066095.0,28028331.0,2747265.0,37500.0,270729.0,162842192.0,1010793.0,310405059.0,55129131.0,0.0,0.0,2052652526.0
NORTH CAROLINA,32930191.0,0.0,71651341.0,2087027.0,235866.0,149900855.0,0.0,0.0,0.0,495287.0,78396.0,3333078.0,0.0,164098.0,4299450.0,0.0,19579031.0,2367716.0,1647810.0,0.0,288770146.0
NORTH DAKOTA,1353878.0,13284801.0,1308323.0,508295.0,494097.0,0.0,0.0,0.0,0.0,14523.0,0.0,0.0,240845.0,0.0,1939917.0,0.0,3347686.0,108711.0,331882.0,0.0,22932958.0
OHIO,106624700.0,0.0,0.0,78839629.0,57327437.0,223327949.0,0.0,316.0,0.0,17275211.0,7391578.0,2802046.0,2783523.0,4771182.0,18276931.0,0.0,51093648.0,23676653.0,16635043.0,0.0,610825846.0
OKLAHOMA,4716608.0,10433616.0,0.0,2444200.0,264729.0,1638967.0,0.0,0.0,0.0,152432.0,610854.0,317739.0,0.0,5389408.0,2320755.0,0.0,109559.0,1295847.0,150298.0,26941.0,29871953.0
OREGON,63013193.0,15571893.0,0.0,16124857.0,7459827.0,5337463.0,0.0,0.0,0.0,112674.0,6737901.0,0.0,0.0,0.0,0.0,0.0,17338751.0,14509975.0,0.0,0.0,146206534.0
PENNSYLVANIA,145970389.0,0.0,48603021.0,87816096.0,4621245.0,100826832.0,0.0,0.0,0.0,12668081.0,0.0,0.0,44490718.0,2082489.0,0.0,0.0,56565509.0,0.0,10149846.0,0.0,513794226.0
RHODE ISLAND,20979096.0,0.0,0.0,10800122.0,2091001.0,38810496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11838253.0,0.0,2499129.0,4214048.0,866582.0,0.0,92098727.0
SOUTH CAROLINA,52506551.0,0.0,0.0,9839897.0,640593.0,0.0,0.0,0.0,0.0,0.0,3189438.0,0.0,0.0,3282487.0,6692874.0,0.0,15837317.0,12260972.0,2349499.0,4585748.0,111185376.0
SOUTH DAKOTA,7277391.0,5388452.0,0.0,2280235.0,40158.0,0.0,0.0,0.0,0.0,0.0,74693.0,0.0,0.0,0.0,0.0,571455.0,1075567.0,0.0,0.0,0.0,16707951.0
TENNESSEE,41299811.0,0.0,0.0,9564062.0,548573.0,0.0,0.0,0.0,0.0,0.0,475832.0,0.0,0.0,0.0,0.0,0.0,20020884.0,0.0,393293.0,1059957.0,73362412.0
TEXAS,4128678.0,92888709.0,231598442.0,76181401.0,2564007.0,0.0,0.0,0.0,0.0,5536439.0,0.0,0.0,6892914.0,10791751.0,0.0,18747815.0,101102556.0,0.0,16885389.0,0.0,567318101.0
UTAH,11503735.0,0.0,0.0,11607409.0,0.0,3376300.0,10122085.0,1230818.0,0.0,1834595.0,4947662.0,2967114.0,204683.0,658858.0,1567229.0,844357.0,5279733.0,475973.0,834238.0,0.0,57454789.0
VERMONT,1417203.0,0.0,6998121.0,0.0,0.0,586114.0,0.0,0.0,19419970.0,109601.0,0.0,0.0,0.0,0.0,0.0,0.0,2412587.0,2237908.0,71645.0,0.0,33253149.0
VIRGINIA,12447297.0,0.0,0.0,20288225.0,815908.0,590474.0,0.0,0.0,524124.0,4555541.0,3025106.0,1000004.0,0.0,0.0,45556771.0,987921.0,27413162.0,0.0,1909657.0,6871463.0,125985653.0
WASHINGTON,128587467.0,0.0,4191962.0,42956277.0,0.0,63909249.0,0.0,0.0,0.0,0.0,3564420.0,0.0,0.0,0.0,0.0,0.0,25622055.0,0.0,20679072.0,0.0,289510502.0
WEST VIRGINIA,599997.0,22490742.0,0.0,343611.0,8907713.0,7050000.0,0.0,0.0,0.0,13509750.0,1729790.0,135.0,0.0,0.0,9368184.0,0.0,6456727.0,0.0,919532.0,236708.0,71612889.0
WISCONSIN,2115872.0,0.0,0.0,8624280.0,81680.0,114591658.0,0.0,0.0,69700000.0,1038849.0,774308.0,2171148.0,1078999.0,106110.0,6413436.0,3468121.0,11943808.0,160754.0,2133116.0,340514.0,224742653.0
WYOMING,3416531.0,0.0,0.0,4715834.0,0.0,1328891.0,0.0,0.0,0.0,1648881.0,1160204.0,0.0,0.0,0.0,0.0,547954.0,2764298.0,217210.0,88216.0,0.0,15888019.0
