,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Other
U.S. TOTAL,4252650107.0,254467575.0,46209898.0,516937971.0,2274529962.0,31122156.0,169625.0,1728271545.0,543834350.0,423979582.0,1512532608.0,40781993.0,838245191.0,43521553.0,2487985002.0
ALABAMA,0.0,62672.0,2434650.0,11981003.0,5454462.0,0.0,0.0,0.0,0.0,23465762.0,482057.0,58415.0,11858168.0,422445.0,26786678.0
ALASKA,31660692.0,3516752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,1829505.0,138475.0,0.0
ARIZONA,1567603.0,0.0,0.0,2627793.0,10032936.0,0.0,0.0,0.0,0.0,22552483.0,0.0,0.0,16424222.0,1697253.0,75806543.0
ARKANSAS,0.0,0.0,0.0,43800.0,380797.0,595200.0,0.0,0.0,0.0,0.0,84623395.0,0.0,3048534.0,0.0,0.0
CALIFORNIA,2100544914.0,13590795.0,5164146.0,9136241.0,718414881.0,9051131.0,0.0,0.0,0.0,369872.0,7960315.0,628641.0,246423348.0,3475330.0,124918106.0
COLORADO,8385173.0,0.0,315931.0,114349.0,12511.0,101611.0,0.0,0.0,2954105.0,375619.0,5494.0,37.0,4548346.0,3324077.0,149076359.0
CONNECTICUT,68539083.0,1614006.0,0.0,16052001.0,33905160.0,2230558.0,0.0,0.0,0.0,0.0,0.0,315202.0,16857429.0,363930.0,78554797.0
DELAWARE,13190378.0,1225591.0,0.0,887961.0,32763555.0,0.0,0.0,0.0,0.0,1035759.0,0.0,0.0,41741.0,0.0,9355281.0
DIST.OF COLUMBIA,35202942.0,14250000.0,1049978.0,14206916.0,22584565.0,0.0,0.0,15000000.0,0.0,15854555.0,0.0,0.0,0.0,0.0,26528706.0
FLORIDA,129900296.0,0.0,0.0,0.0,128925050.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,10338677.0,8499907.0,135594288.0
GEORGIA,2491329.0,676113.0,0.0,1185573.0,21506538.0,2111022.0,0.0,0.0,0.0,0.0,0.0,0.0,1275823.0,55227.0,144066902.0
HAWAII,18436610.0,0.0,652561.0,88631235.0,4971630.0,1307513.0,0.0,0.0,0.0,3531926.0,5426395.0,1612631.0,5868163.0,933760.0,28780853.0
