,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
NORTH DAKOTA,7152401.0,1017036.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872185.0,0.0,27664.0,,0.0
OHIO,117568743.0,0.0,0.0,,10048944.0,285689519.0,0.0,0.0,0.0,0.0,31586373.0,21673098.0,0.0,56975149.0,1462820.0,,1791960.0
OKLAHOMA,9985828.0,10630233.0,13180831.0,,0.0,0.0,0.0,0.0,0.0,0.0,360058.0,695231.0,4216246.0,9017957.0,1238329.0,,10795001.0
OREGON,71045855.0,16474737.0,3109031.0,,14221880.0,2280440.0,471019.0,0.0,0.0,1047514.0,0.0,0.0,0.0,835177.0,397209.0,,31554360.0
PENNSYLVANIA,22405935.0,0.0,2005710.0,,40250321.0,299465038.0,10444689.0,0.0,0.0,0.0,15764218.0,14573930.0,0.0,20618960.0,4620224.0,,0.0
RHODE ISLAND,561137.0,625858.0,0.0,,605817.0,3844556.0,0.0,0.0,5260068.0,5181740.0,0.0,0.0,0.0,3864588.0,499402.0,,54111054.0
SOUTH CAROLINA,1160045.0,0.0,0.0,,2645957.0,4085272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2371229.0,1009914.0,,38818174.0
SOUTH DAKOTA,4948853.0,802914.0,0.0,,1568324.0,0.0,45291.0,0.0,0.0,0.0,0.0,0.0,0.0,1174618.0,0.0,,0.0
TENNESSEE,946730.0,14839442.0,0.0,,25067127.0,4136340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17872235.0,1967918.0,,54996768.0
TEXAS,63890317.0,0.0,9901.0,,7637194.0,27006469.0,551747.0,105.0,0.0,0.0,99308.0,0.0,1124.0,1205656.0,61707.0,,149095377.0
UTAH,887451.0,0.0,2972169.0,,1114222.0,4474924.0,0.0,0.0,0.0,0.0,0.0,4061308.0,0.0,0.0,0.0,,20976609.0
VERMONT,12498086.0,0.0,2433904.0,,6324.0,12065363.0,0.0,0.0,0.0,0.0,112546.0,0.0,0.0,4057065.0,126394.0,,0.0
VIRGINIA,51331195.0,2594059.0,0.0,,29005919.0,21328762.0,4023815.0,159400.0,0.0,0.0,9074.0,0.0,56725.0,13111670.0,1507537.0,,18861601.0
WASHINGTON,122528655.0,0.0,0.0,,55739517.0,46457642.0,1322800.0,0.0,0.0,0.0,34656448.0,217333506.0,0.0,18523522.0,4693885.0,,558117828.0
WEST VIRGINIA,26308086.0,2971392.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166968.0,0.0,,0.0
WISCONSIN,24584949.0,0.0,0.0,,19804083.0,98510742.0,1567928.0,0.0,32795588.0,0.0,5353267.0,853006.0,6727319.0,9250646.0,52182.0,,6021874.0
WYOMING,3335947.0,1553707.0,0.0,,35.0,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146913.0,122981.0,,2414159.0
