,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
NEW JERSEY,128525935.0,-5000000.0,8125295.0,0.0,44039061.0,0.0,409740.0,52660.0,18393000.0,0.0,5169661.0,13093184.0,4299506.0,28281313.0,3909483.0,6840000.0,1364080.0
NEW MEXICO,63804831.0,0.0,27695.0,0.0,8764927.0,0.0,0.0,0.0,0.0,0.0,0.0,199994.0,0.0,8202702.0,1056696.0,0.0,83059.0
NEW YORK,1068439252.0,0.0,0.0,129671768.0,138526985.0,0.0,9427894.0,0.0,0.0,0.0,109471320.0,9050062.0,315952.0,228285755.0,17290415.0,46295630.0,349403190.0
NORTH CAROLINA,64193119.0,0.0,0.0,404052.0,4402346.0,73794463.0,843108.0,1000.0,0.0,0.0,2376596.0,0.0,0.0,20549057.0,-47804.0,90136202.0,6711298.0
NORTH DAKOTA,276718.0,0.0,1174490.0,12689598.0,3155344.0,1967.0,141109.0,0.0,0.0,0.0,29907.0,0.0,2556166.0,3396543.0,703784.0,4026880.0,116900.0
OHIO,221290156.0,0.0,4394831.0,0.0,44744774.0,278257977.0,9245332.0,0.0,0.0,0.0,4775112.0,7582688.0,3296719.0,54215260.0,0.0,0.0,-11466579.0
OKLAHOMA,10363425.0,-40174.0,13250411.0,10204526.0,0.0,19011074.0,0.0,0.0,0.0,0.0,838.0,502015.0,3495206.0,12565785.0,974150.0,0.0,18112378.0
OREGON,84543932.0,572655.0,722826.0,9596155.0,6502569.0,1846.0,69743.0,0.0,0.0,0.0,0.0,0.0,0.0,23911836.0,82550.0,0.0,55328983.0
PENNSYLVANIA,245945087.0,0.0,8332807.0,0.0,94267990.0,33420891.0,4708359.0,0.0,0.0,0.0,969.0,25248706.0,2183791.0,18527400.0,8776739.0,55599818.0,-101636.0
RHODE ISLAND,36380456.0,901234.0,161909.0,0.0,8430278.0,5106989.0,3534310.0,0.0,0.0,0.0,0.0,0.0,0.0,8710089.0,2179226.0,0.0,10379852.0
SOUTH CAROLINA,30315212.0,0.0,1981114.0,0.0,13827474.0,0.0,55065.0,0.0,0.0,0.0,0.0,2424218.0,0.0,8398099.0,2000572.0,0.0,36181957.0
SOUTH DAKOTA,8675813.0,0.0,0.0,4758569.0,2678958.0,0.0,65825.0,0.0,0.0,0.0,0.0,0.0,0.0,1722085.0,0.0,0.0,890704.0
TENNESSEE,118403257.0,31190914.0,0.0,0.0,53093400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9474727.0,4189546.0,0.0,0.0
TEXAS,29714525.0,0.0,242932.0,55750799.0,76096734.0,0.0,6121989.0,0.0,0.0,0.0,5089865.0,3779988.0,2537373.0,52180380.0,19404904.0,173538342.0,18397167.0
UTAH,25311705.0,3000000.0,276989.0,0.0,24790154.0,0.0,0.0,0.0,0.0,0.0,4551765.0,4198113.0,627794.0,7795318.0,962325.0,0.0,0.0
VERMONT,3588074.0,0.0,2387165.0,2413899.0,11361.0,1902473.0,0.0,0.0,16820755.0,0.0,1518536.0,0.0,0.0,4304687.0,446839.0,0.0,0.0
VIRGINIA,46307310.0,0.0,0.0,0.0,17722274.0,47979.0,4201746.0,0.0,0.0,0.0,775859.0,0.0,34962581.0,7258506.0,371058.0,0.0,4605049.0
WASHINGTON,209596889.0,0.0,0.0,0.0,69549394.0,71511.0,1250129.0,0.0,0.0,0.0,270444.0,0.0,0.0,28354435.0,4228470.0,20209282.0,0.0
WEST VIRGINIA,12649035.0,1983513.0,21489116.0,10540317.0,1892770.0,23430608.0,0.0,0.0,0.0,0.0,297881.0,-412298.0,0.0,1798877.0,6644352.0,0.0,18833365.0
WISCONSIN,69454804.0,0.0,0.0,0.0,15990382.0,117663423.0,514756.0,0.0,43664200.0,0.0,1187534.0,103007.0,4760848.0,12387415.0,3783034.0,0.0,1521410.0
WYOMING,2221277.0,0.0,0.0,0.0,1756999.0,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067400.0,28220.0,0.0,12420628.0
