,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
U.S. TOTAL,5003359698.0,103885511.0,226621917.0,477211156.0,1627045948.0,1129404058.0,134374191.0,1494802.0,110624591.0,0.0,204896184.0,557409113.0,262453772.0,1230010558.0,166858453.0,903719320.0,1980408950.0
ALABAMA,49633048.0,0.0,1968990.0,0.0,13266206.0,0.0,672311.0,0.0,0.0,0.0,233.0,1419370.0,980526.0,7573455.0,568834.0,0.0,12074403.0
ALASKA,11163448.0,3028275.0,883801.0,0.0,9095619.0,6487656.0,144499.0,0.0,0.0,0.0,24267.0,368035.0,0.0,2691804.0,431229.0,0.0,0.0
ARIZONA,49126948.0,0.0,1835278.0,0.0,8528032.0,-11152220.0,145122.0,0.0,0.0,0.0,8930317.0,0.0,0.0,19141928.0,2622331.0,7772422.0,115431767.0
ARKANSAS,14576892.0,0.0,0.0,0.0,32415053.0,8809626.0,3162014.0,717331.0,0.0,0.0,0.0,522655.0,2387773.0,4995474.0,1402035.0,0.0,7656585.0
CALIFORNIA,1482441239.0,39053793.0,107943536.0,215902091.0,520039342.0,63646080.0,45209673.0,0.0,0.0,0.0,292240.0,212608659.0,0.0,274610599.0,38947715.0,0.0,214642514.0
COLORADO,62945487.0,0.0,3826141.0,0.0,3780453.0,84959.0,1253600.0,0.0,0.0,0.0,4196682.0,284314.0,109864.0,12257011.0,4136755.0,134224.0,83730646.0
CONNECTICUT,7592156.0,0.0,0.0,1470313.0,0.0,0.0,2801557.0,0.0,0.0,0.0,858348.0,63574688.0,22628491.0,13408195.0,0.0,13721979.0,115066529.0
DELAWARE,1830839.0,-3573214.0,-329794.0,-1435.0,3736518.0,24297721.0,-38000.0,0.0,0.0,0.0,497300.0,0.0,0.0,1971303.0,0.0,2377.0,0.0
DIST.OF COLUMBIA,14048659.0,0.0,0.0,0.0,4243940.0,34307103.0,0.0,0.0,0.0,0.0,0.0,1279226.0,4300000.0,4849628.0,2730680.0,0.0,8191203.0
FLORIDA,31977991.0,13825666.0,508930.0,0.0,58739434.0,84570436.0,3942702.0,0.0,0.0,0.0,790723.0,1445189.0,0.0,15302786.0,1713261.0,0.0,185475435.0
GEORGIA,41558502.0,0.0,9657087.0,0.0,19674214.0,0.0,0.0,0.0,0.0,0.0,0.0,14665547.0,11391395.0,19850210.0,593449.0,29921794.0,201998702.0
HAWAII,37449708.0,0.0,737262.0,0.0,3690785.0,0.0,1034279.0,0.0,0.0,0.0,738072.0,6777862.0,0.0,5894992.0,2952242.0,0.0,0.0
IDAHO,482039.0,102115.0,120703.0,0.0,5050150.0,1897885.0,0.0,0.0,0.0,0.0,888099.0,393568.0,0.0,2818918.0,1012183.0,5713146.0,2224570.0
ILLINOIS,89842598.0,0.0,5379625.0,0.0,27710827.0,147112060.0,897764.0,0.0,9197636.0,0.0,0.0,0.0,0.0,25575389.0,1066142.0,253243140.0,24380678.0
INDIANA,32092095.0,0.0,0.0,0.0,15942889.0,0.0,0.0,0.0,0.0,0.0,0.0,4304887.0,0.0,19300069.0,3962679.0,0.0,25622806.0
IOWA,15948053.0,0.0,0.0,0.0,12262249.0,0.0,563751.0,0.0,0.0,0.0,140801.0,51008251.0,0.0,11068054.0,578410.0,0.0,0.0
KANSAS,17071684.0,0.0,5244083.0,14474861.0,723161.0,-471956.0,2006569.0,0.0,0.0,0.0,77264.0,0.0,0.0,6736065.0,5411029.0,0.0,10257169.0
KENTUCKY,72838379.0,15762005.0,7035152.0,0.0,22996517.0,16888747.0,4939200.0,0.0,0.0,0.0,0.0,0.0,0.0,9715284.0,2669625.0,0.0,13642547.0
LOUISIANA,14653328.0,0.0,1299889.0,0.0,7916715.0,0.0,1513069.0,723811.0,0.0,0.0,0.0,1319946.0,99026204.0,18989157.0,937923.0,0.0,22379984.0
MAINE,41798058.0,3078729.0,6978458.0,0.0,12014969.0,4251580.0,1548982.0,0.0,0.0,0.0,348728.0,0.0,0.0,3370792.0,307525.0,1005052.0,0.0
MARYLAND,90672279.0,0.0,0.0,0.0,47418837.0,334620.0,6623003.0,0.0,0.0,0.0,12711101.0,82076.0,35668983.0,26744183.0,6077797.0,0.0,0.0
MASSACHUSETTS,14535192.0,0.0,0.0,0.0,0.0,164179306.0,0.0,0.0,0.0,0.0,0.0,15804624.0,0.0,6154092.0,0.0,0.0,161279193.0
MICHIGAN,201403852.0,0.0,0.0,0.0,66755154.0,-693165.0,688425.0,0.0,0.0,0.0,4271642.0,108461104.0,26711585.0,132228446.0,1480712.0,86912290.0,179059478.0
MINNESOTA,49100172.0,0.0,0.0,0.0,60773571.0,0.0,3870603.0,0.0,22549000.0,0.0,32853270.0,1116022.0,0.0,26139296.0,172132.0,0.0,3281386.0
MISSISSIPPI,12022394.0,0.0,10351276.0,0.0,13094199.0,0.0,11029330.0,0.0,0.0,0.0,0.0,4729845.0,95096.0,2681671.0,285392.0,0.0,4521156.0
MISSOURI,1253790.0,0.0,0.0,0.0,623887.0,29744277.0,0.0,0.0,0.0,0.0,1383528.0,0.0,0.0,0.0,0.0,107213028.0,40335826.0
MONTANA,15617798.0,0.0,0.0,2418642.0,2988025.0,298142.0,0.0,0.0,0.0,0.0,0.0,651041.0,0.0,2863653.0,2958521.0,1433714.0,646341.0
NEBRASKA,17128825.0,0.0,0.0,0.0,17283094.0,0.0,0.0,0.0,0.0,0.0,0.0,335046.0,0.0,3975775.0,654376.0,0.0,2000725.0
NEVADA,21765697.0,0.0,613920.0,0.0,146830.0,0.0,677850.0,0.0,0.0,0.0,0.0,0.0,0.0,2566721.0,2526368.0,0.0,20678508.0
NEW HAMPSHIRE,10787736.0,0.0,0.0,6917001.0,5891104.0,0.0,1098783.0,0.0,0.0,0.0,377282.0,487481.0,117919.0,5147939.0,3674549.0,0.0,3048994.0
