,Total Basic Assistance,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3468364379.0,485961318.0,49282347.0,2279915218.0,2448128613.0,37976.0,1976031999.0,589306710.0,195810054.0,276313046.0,272348819.0,33177672.0,521703306.0,22146146.0,930234632.0,221657067.0,61380980.0,305441985.0,14710415090.0
ALABAMA,0.0,392168.0,2738196.0,5678807.0,41647749.0,0.0,0.0,23240668.0,0.0,202500.0,0.0,8290.0,19467330.0,3031306.0,8386372.0,5367437.0,178548.0,0.0,110339371.0
ALASKA,30559877.0,13982.0,0.0,0.0,0.0,0.0,0.0,562274.0,0.0,4603822.0,0.0,0.0,0.0,0.0,641189.0,0.0,0.0,218855.0,36599999.0
ARIZONA,0.0,1110900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98868136.0,0.0,14457422.0,43126712.0,5706270.0,0.0,163269440.0
ARKANSAS,0.0,0.0,261000.0,0.0,105195915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5897583.0,0.0,0.0,0.0,111354498.0
CALIFORNIA,1816669734.0,64202308.0,11196057.0,520568806.0,0.0,0.0,0.0,351487.0,108812280.0,1361011.0,12904677.0,2104576.0,291.0,0.0,328830441.0,36980126.0,4521591.0,180985.0,2908684370.0
COLORADO,9992190.0,965504.0,1435000.0,10902653.0,74838558.0,120.0,72576831.0,28431068.0,193256.0,48411.0,24449.0,9614.0,45686138.0,7394132.0,3677451.0,4106740.0,3397101.0,0.0,268591728.0
CONNECTICUT,47927520.0,12036877.0,0.0,41764419.0,83561434.0,0.0,0.0,0.0,1603177.0,0.0,0.0,327141.0,0.0,0.0,23273633.0,0.0,10586634.0,0.0,221080835.0
DELAWARE,16895317.0,959000.0,0.0,45780974.0,0.0,0.0,0.0,786554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14456835.0,170588.0,0.0,79049268.0
DIST. OF COLUMBIA,56820567.0,20246177.0,0.0,22584565.0,0.0,0.0,28927747.0,51109684.0,982183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180670923.0
FLORIDA,124031934.0,0.0,0.0,111939394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100521544.0,0.0,37541288.0,0.0,3815327.0,0.0,377849487.0
GEORGIA,17251752.0,0.0,524444.0,22182651.0,0.0,0.0,0.0,0.0,0.0,39316529.0,0.0,0.0,88295647.0,0.0,2022362.0,139744.0,3635398.0,0.0,173368527.0
HAWAII,18214039.0,42161840.0,2177694.0,10684015.0,80046.0,4489.0,0.0,5656659.0,21496683.0,5994667.0,3947922.0,1212984.0,74095.0,0.0,12083617.0,3931982.0,854557.0,21659224.0,150234513.0
IDAHO,6021743.0,2192014.0,19264.0,1175820.0,450000.0,0.0,0.0,50071.0,0.0,0.0,0.0,0.0,1326798.0,0.0,1326064.0,0.0,463605.0,0.0,13025379.0
ILLINOIS,4717871.0,110087.0,45778.0,366120039.0,58586288.0,0.0,0.0,0.0,5020712.0,0.0,0.0,0.0,0.0,0.0,0.0,662387.0,8160.0,0.0,435271322.0
INDIANA,856787.0,0.0,0.0,15356947.0,0.0,0.0,0.0,0.0,0.0,13879648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54528621.0,113525523.0
IOWA,26745652.0,8905703.0,1243630.0,8450257.0,0.0,0.0,26504653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977796.0,3221677.0,427203.0,0.0,76476571.0
KANSAS ,0.0,0.0,0.0,6673024.0,14437440.0,0.0,48346830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69457294.0
KENTUCKY,44609473.0,9040417.0,0.0,31127472.0,0.0,0.0,0.0,0.0,129658.0,0.0,0.0,3533955.0,0.0,0.0,309018.0,0.0,132404.0,0.0,88882397.0
LOUISIANA ,0.0,22642113.0,0.0,10214442.0,5841332.0,0.0,14671057.0,0.0,0.0,0.0,0.0,3148436.0,0.0,0.0,0.0,0.0,0.0,0.0,56517380.0
MAINE,22852510.0,115609.0,1348801.0,4889099.0,414667.0,0.0,0.0,3824736.0,4418.0,1069482.0,0.0,0.0,2310954.0,0.0,276242.0,6393.0,0.0,0.0,37523943.0
MARYLAND,3317268.0,471211.0,14477.0,528829.0,55962039.0,0.0,152582046.0,25961085.0,0.0,0.0,0.0,0.0,13823.0,0.0,3519155.0,1271303.0,1178238.0,0.0,244819474.0
MASSACHUSETTS,191905703.0,11572102.0,367128.0,44973368.0,0.0,0.0,174125466.0,103872692.0,11714894.0,0.0,8394990.0,0.0,8310562.0,0.0,36557386.0,0.0,0.0,0.0,591794291.0
MICHIGAN,16026676.0,851637.0,9394887.0,19529091.0,186192698.0,0.0,45440212.0,45045137.0,0.0,106023852.0,0.0,0.0,6031408.0,0.0,3788325.0,62655048.0,210093.0,0.0,501189064.0
MINNESOTA,23629876.0,2194792.0,0.0,125904362.0,5700000.0,0.0,127000000.0,212167.0,0.0,0.0,0.0,0.0,0.0,0.0,17742233.0,0.0,0.0,0.0,311383430.0
MISSISSIPPI,453353.0,19316750.0,139770.0,1715430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22459.0,0.0,76546.0,0.0,21724308.0
MISSOURI,17774572.0,13907400.0,1657521.0,27979879.0,0.0,0.0,0.0,59190790.0,65817.0,0.0,0.0,0.0,0.0,0.0,4689379.0,0.0,1166645.0,13676777.0,140108780.0
MONTANA,2630211.0,3707081.0,801152.0,1313990.0,0.0,33367.0,0.0,506839.0,0.0,0.0,0.0,0.0,0.0,0.0,549315.0,1975567.0,1648484.0,0.0,13166006.0
NEBRASKA,8071267.0,2720498.0,0.0,6498998.0,0.0,0.0,30057717.0,0.0,0.0,290065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52643247.0
NEVADA,23378185.0,1343144.0,868684.0,17887420.0,0.0,0.0,0.0,3384281.0,289153.0,0.0,59280.0,0.0,14580922.0,0.0,0.0,700000.0,0.0,0.0,62491069.0
NEW HAMPSHIRE,11454313.0,4644073.0,424833.0,4581872.0,0.0,0.0,0.0,281511.0,0.0,0.0,3899075.0,3576334.0,0.0,0.0,5120376.0,0.0,947993.0,1441377.0,36371757.0
NEW JERSEY,7918591.0,35186437.0,7115.0,79670947.0,560008556.0,0.0,241319092.0,7488584.0,8195337.0,5573887.0,0.0,149948.0,0.0,0.0,18226500.0,0.0,822142.0,0.0,964567136.0
NEW MEXICO,10562595.0,618496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302574.0,6500000.0,0.0,0.0,0.0,0.0,0.0,71865551.0,164472416.0
NEW YORK ,444784983.0,15250417.0,321241.0,101985197.0,467684846.0,0.0,962128685.0,37490190.0,13292548.0,13739300.0,0.0,0.0,52709304.0,4521.0,170021101.0,2218447.0,6034591.0,0.0,2736516680.0
NORTH CAROLINA,0.0,3104564.0,2242359.0,31238830.0,115709180.0,0.0,0.0,4753079.0,318454.0,74666.0,0.0,0.0,49287852.0,0.0,23259953.0,21179489.0,519011.0,0.0,251687437.0
NORTH DAKOTA,2594782.0,3195733.0,257983.0,1102365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918423.0,0.0,0.0,0.0,0.0,0.0,9069286.0
OHIO,134930857.0,0.0,0.0,178748839.0,0.0,0.0,0.0,41328894.0,0.0,0.0,54801378.0,351706.0,4275905.0,0.0,43676512.0,646619.0,145.0,0.0,458760855.0
OKLAHOMA,12398959.0,6978187.0,831487.0,7536759.0,12079314.0,0.0,0.0,469553.0,581533.0,623855.0,0.0,0.0,5864388.0,0.0,8840304.0,3156533.0,672873.0,85969.0,60119714.0
OREGON,29702372.0,7010889.0,1258129.0,9346604.0,12001108.0,0.0,0.0,29308375.0,4959708.0,0.0,0.0,0.0,0.0,0.0,14893145.0,8991079.0,0.0,0.0,118937957.0
PENNSYLVANIA,9424506.0,14831514.0,51225.0,235947927.0,154676877.0,0.0,0.0,1230132.0,0.0,0.0,40736.0,0.0,0.0,10917266.0,40157035.0,0.0,2588733.0,0.0,469865951.0
RHODE ISLAND,376985.0,1179897.0,0.0,5320519.0,800000.0,0.0,19128523.0,26236901.0,0.0,455066.0,0.0,0.0,22159786.0,0.0,532368.0,441287.0,660621.0,0.0,77291953.0
SOUTH CAROLINA,1020414.0,0.0,0.0,4085268.0,26794402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2265454.0,875.0,963413.0,17537078.0,52666904.0
SOUTH DAKOTA,5643576.0,1261076.0,35978.0,802914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796456.0,0.0,0.0,0.0,8540000.0
TENNESSEE,20312465.0,1527365.0,41407.0,18975782.0,61667812.0,0.0,0.0,0.0,10014.0,0.0,0.0,0.0,0.0,0.0,13395650.0,0.0,608788.0,0.0,116539283.0
TEXAS,48257311.0,7392306.0,378683.0,0.0,342673572.0,0.0,0.0,96106.0,0.0,0.0,0.0,0.0,0.0,0.0,812105.0,0.0,150152.0,0.0,399760235.0
UTAH,11463225.0,8822026.0,0.0,4474924.0,0.0,0.0,0.0,58801.0,68730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24887706.0
VERMONT,14764036.0,2695859.0,1456877.0,20477784.0,0.0,0.0,0.0,530294.0,0.0,2076735.0,0.0,0.0,0.0,0.0,2757211.0,4593652.0,726207.0,0.0,50078655.0
VIRGINIA,41430619.0,28075194.0,5953909.0,21328762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9444350.0,0.0,0.0,15479086.0,0.0,3142664.0,5958827.0,130813411.0
WASHINGTON,14613422.0,82440207.0,0.0,67340075.0,61124780.0,0.0,0.0,48303969.0,279073.0,0.0,186808948.0,0.0,0.0,798921.0,44364297.0,0.0,1564161.0,118288721.0,625926574.0
WEST VIRGINIA,25501039.0,0.0,807049.0,2971392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166964.0,0.0,0.0,0.0,34446444.0
WISCONSIN,85910500.0,20469380.0,980589.0,0.0,0.0,0.0,33223140.0,37912549.0,17792426.0,80979550.0,1164790.0,2810338.0,0.0,0.0,12312555.0,1747971.0,2106308.0,0.0,297410096.0
