,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
NEW MEXICO,52134053.0,0.0,202436.0,0.0,8693878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10003197.0,656210.0,0.0,1580647.0
NEW YORK,1152474723.0,0.0,0.0,161133825.0,108997112.0,0.0,5956169.0,0.0,0.0,0.0,148696523.0,15439071.0,0.0,226491465.0,5332661.0,26143086.0,325544925.0
NORTH CAROLINA,56549542.0,0.0,0.0,487900.0,6148127.0,72604015.0,501657.0,0.0,0.0,0.0,453587.0,0.0,93.0,25217696.0,0.0,73537182.0,3356037.0
NORTH DAKOTA,146446.0,0.0,-589495.0,13498098.0,2473551.0,-1967.0,1468855.0,0.0,0.0,0.0,27263.0,0.0,1333616.0,3324073.0,644196.0,2391801.0,136078.0
OHIO,150115772.0,0.0,3861061.0,0.0,35918355.0,203582026.0,6031941.0,0.0,0.0,0.0,5106901.0,1964469.0,1047834.0,88935636.0,0.0,0.0,17342875.0
OKLAHOMA,7934825.0,-58.0,10657823.0,9823278.0,-2.0,34750000.0,0.0,0.0,0.0,0.0,150795.0,836906.0,2871168.0,12507855.0,925013.0,0.0,14845428.0
OREGON,66825349.0,1666324.0,1606598.0,7955375.0,9356914.0,0.0,62639.0,0.0,0.0,0.0,0.0,0.0,0.0,20295103.0,0.0,0.0,55777709.0
PENNSYLVANIA,220317375.0,0.0,7431822.0,0.0,73166936.0,24561292.0,1468086.0,0.0,0.0,0.0,2800000.0,23067717.0,2028737.0,40988512.0,8866861.0,54168728.0,5000.0
RHODE ISLAND,41867792.0,1123543.0,196863.0,0.0,9438554.0,6621111.0,3899738.0,0.0,0.0,0.0,0.0,0.0,0.0,10859568.0,2973592.0,0.0,11010836.0
SOUTH CAROLINA,33908031.0,0.0,1875148.0,0.0,20003720.0,0.0,19844.0,0.0,0.0,0.0,0.0,4682466.0,0.0,13570059.0,2192584.0,0.0,32231754.0
SOUTH DAKOTA,7352038.0,0.0,0.0,4138379.0,2599094.0,0.0,53305.0,0.0,0.0,0.0,0.0,0.0,0.0,1954031.0,0.0,0.0,830333.0
TENNESSEE,92096149.0,897138.0,0.0,0.0,55348338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8418913.0,3052196.0,0.0,0.0
TEXAS,12565876.0,0.0,517109.0,54899815.0,80023355.0,0.0,4598646.0,0.0,0.0,0.0,6929039.0,3864456.0,5726011.0,52182728.0,14591089.0,175646496.0,23371924.0
UTAH,21365095.0,6000000.0,253024.0,0.0,9106546.0,0.0,5329.0,0.0,0.0,0.0,2297035.0,1500494.0,322112.0,3764931.0,482421.0,0.0,6570.0
VERMONT,2477973.0,0.0,1827735.0,2618971.0,21926.0,1473919.0,0.0,0.0,19533877.0,0.0,1242120.0,0.0,0.0,3862907.0,334361.0,0.0,0.0
VIRGINIA,47729969.0,0.0,0.0,0.0,22541488.0,412.0,4336607.0,0.0,0.0,0.0,14498.0,0.0,37232788.0,5612579.0,1658932.0,0.0,2497053.0
WASHINGTON,128169303.0,0.0,0.0,0.0,73608673.0,5391.0,2515518.0,0.0,0.0,0.0,372246.0,0.0,0.0,36837052.0,4337004.0,10806142.0,0.0
WEST VIRGINIA,9391989.0,524273.0,25045088.0,18143004.0,1821453.0,6940480.0,0.0,0.0,0.0,0.0,1533518.0,0.0,4525597.0,10828438.0,10224720.0,0.0,10180119.0
WISCONSIN,52432443.0,0.0,0.0,0.0,3264982.0,137184698.0,0.0,0.0,43664200.0,0.0,600000.0,0.0,5159629.0,7516982.0,3819165.0,0.0,624238.0
WYOMING,523853.0,0.0,0.0,0.0,1784162.0,2100000.0,0.0,0.0,0.0,0.0,165443.0,0.0,0.0,1672566.0,10424.0,0.0,15006128.0
