,Total Basic Assistance,Assistance Under Prior Law,Non-Assistance Under Prior Law,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
U.S. TOTAL,3155388015.0,563246283.0,564949505.0,2880951750.0,395579048.0,1546537642.0,68210314.0,2134026.0,310357059.0,404369219.0,206025495.0,197107493.0,134988052.0,159681944.0,1128638502.0,77248100.0,1176162331.0,810840576.0,162118443.0,12543244.0,13957077041.0
ALABAMA,20321862.0,0.0,0.0,6277205.0,839723.0,90024.0,0.0,0.0,0.0,12064545.0,520862.0,900000.0,854289.0,2871585.0,11065821.0,1881627.0,12783612.0,10621062.0,739331.0,0.0,81831548.0
ALASKA,17091522.0,0.0,0.0,8741534.0,294110.0,7764161.0,0.0,0.0,0.0,0.0,0.0,0.0,2988174.0,0.0,0.0,0.0,7162803.0,0.0,3073.0,0.0,44045377.0
ARIZONA,41697276.0,9750527.0,0.0,377322.0,7034419.0,2546800.0,0.0,0.0,0.0,9482507.0,5784681.0,0.0,0.0,0.0,89807382.0,0.0,11540230.0,601521.0,3361470.0,0.0,181984135.0
ARKANSAS,4098634.0,0.0,4079213.0,14615698.0,949214.0,15514589.0,0.0,0.0,0.0,0.0,0.0,106403.0,937208.0,2294545.0,330060.0,0.0,9263984.0,99296.0,1431409.0,0.0,53720253.0
CALIFORNIA,480116893.0,253674004.0,0.0,1723510960.0,179106846.0,201585505.0,0.0,0.0,0.0,247347.0,34051960.0,0.0,12540690.0,0.0,0.0,0.0,207289851.0,192626797.0,37994197.0,0.0,3322745050.0
COLORADO,48100901.0,0.0,0.0,10111361.0,9060907.0,494182.0,84324.0,2912.0,0.0,4568848.0,1979964.0,563025.0,416360.0,504589.0,783778.0,569909.0,15203443.0,34371411.0,3644699.0,0.0,130460613.0
CONNECTICUT,0.0,0.0,19726211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19103907.0,0.0,51502991.0,16192439.0,62229764.0,0.0,13732947.0,57509862.0,0.0,0.0,239998121.0
DELAWARE,910494.0,0.0,0.0,2831622.0,0.0,20194625.0,0.0,0.0,0.0,1846293.0,0.0,0.0,0.0,0.0,0.0,0.0,3520878.0,888026.0,0.0,0.0,30191938.0
DIST. OF COLUMBIA,22292955.0,0.0,0.0,10452775.0,0.0,36947695.0,0.0,0.0,0.0,0.0,273109.0,0.0,973682.0,0.0,0.0,1226779.0,9105074.0,1393730.0,624504.0,0.0,83290303.0
FLORIDA,36560664.0,0.0,0.0,43769764.0,4147909.0,94399447.0,0.0,0.0,0.0,902114.0,19923876.0,0.0,204322.0,0.0,151060681.0,0.0,40192609.0,0.0,4191120.0,0.0,395352506.0
GEORGIA,67651096.0,36672497.0,0.0,10626204.0,2526818.0,0.0,0.0,0.0,0.0,4671914.0,13069738.0,17114865.0,10133405.0,0.0,135327394.0,0.0,10850713.0,4993977.0,1956919.0,0.0,315595540.0
HAWAII,17563586.0,0.0,0.0,618174.0,1168766.0,1529137.0,0.0,86219.0,0.0,182527.0,616477.0,735367.0,2891743.0,225814.0,469493.0,1759364.0,6103127.0,4600842.0,1267359.0,0.0,39817995.0
IDAHO,1923752.0,0.0,11306225.0,1339038.0,64434.0,4656876.0,1059203.0,0.0,0.0,1304105.0,0.0,0.0,403855.0,0.0,0.0,0.0,4005564.0,0.0,1688114.0,0.0,27751166.0
ILLINOIS,26918725.0,0.0,0.0,19050392.0,742666.0,155327304.0,0.0,377984.0,66150494.0,564492.0,0.0,0.0,102555.0,0.0,242282735.0,0.0,0.0,70051958.0,56967.0,0.0,581626272.0
INDIANA,14716227.0,0.0,0.0,83762279.0,1102831.0,41260282.0,0.0,0.0,0.0,387960.0,0.0,7374770.0,4426798.0,25369587.0,9336994.0,23622474.0,15546671.0,0.0,8555000.0,68804.0,235530677.0
IOWA,1625682.0,0.0,0.0,3723178.0,308113.0,24865232.0,0.0,0.0,0.0,298427.0,0.0,0.0,1670096.0,15746.0,55569447.0,0.0,3779738.0,2648240.0,516901.0,0.0,95020800.0
KANSAS ,13025973.0,16654008.0,2797385.0,1020628.0,1437822.0,0.0,0.0,0.0,0.0,701.0,3186011.0,17646613.0,0.0,1289560.0,5159918.0,5437143.0,8281972.0,4470671.0,3163601.0,0.0,83572006.0
KENTUCKY,141309259.0,0.0,0.0,18496816.0,0.0,6570655.0,0.0,0.0,0.0,0.0,6043839.0,0.0,0.0,0.0,0.0,0.0,9800417.0,0.0,1182797.0,0.0,183403783.0
LOUISIANA ,19673217.0,0.0,11686443.0,2395326.0,727399.0,0.0,40180504.0,0.0,0.0,0.0,9165771.0,809999.0,1075581.0,0.0,37556075.0,2586504.0,16723671.0,1250683.0,1705186.0,0.0,145536359.0
