,Total Basic Assistance,Assistance Under Prior Law,Non-Assistance Under Prior Law,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
MAINE,8759257.0,0.0,0.0,11780240.0,3246784.0,9638177.0,718507.0,194183.0,7187021.0,1192313.0,2334300.0,5350808.0,223657.0,0.0,6251547.0,3095385.0,2805004.0,3959411.0,676980.0,0.0,67413574.0
MARYLAND,100713507.0,0.0,0.0,27953058.0,6149883.0,6864425.0,0.0,0.0,0.0,12405999.0,0.0,0.0,98436.0,848621.0,26004543.0,965645.0,16446497.0,18504601.0,5398294.0,0.0,222353509.0
MASSACHUSETTS,12840829.0,0.0,0.0,156435753.0,0.0,202184099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371460681.0
MICHIGAN,137198148.0,35926619.0,268358.0,4662607.0,72857031.0,0.0,0.0,0.0,0.0,18392168.0,18605951.0,109500291.0,0.0,0.0,49413071.0,0.0,48001687.0,248798083.0,4285792.0,0.0,747909806.0
MINNESOTA,61204300.0,0.0,0.0,54552975.0,2523819.0,0.0,0.0,0.0,25507889.0,24531212.0,0.0,0.0,157133.0,0.0,0.0,10212026.0,34101818.0,0.0,519287.0,4497058.0,217807517.0
MISSISSIPPI,6147736.0,0.0,0.0,9788931.0,4596627.0,0.0,0.0,0.0,0.0,0.0,6922321.0,43662.0,42000.0,39888321.0,20757677.0,0.0,16100448.0,0.0,136560.0,177.0,104424460.0
MISSOURI,1079016.0,0.0,131817363.0,55483218.0,0.0,28062837.0,0.0,0.0,0.0,0.0,546555.0,0.0,600000.0,1191992.0,0.0,0.0,0.0,0.0,0.0,0.0,218780981.0
MONTANA,24143212.0,2531556.0,2459902.0,411558.0,0.0,755783.0,0.0,132505.0,0.0,0.0,0.0,0.0,33861.0,0.0,0.0,0.0,3304112.0,769700.0,565640.0,0.0,35107829.0
NEBRASKA,19113089.0,0.0,0.0,9232183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4174112.0,0.0,4827178.0,0.0,204691.0,0.0,37551253.0
NEVADA,14027691.0,0.0,0.0,9600.0,1258331.0,1125055.0,0.0,0.0,0.0,0.0,261248.0,0.0,99101.0,0.0,1000000.0,0.0,2768534.0,13623690.0,5394401.0,0.0,39567651.0
NEW HAMPSHIRE,15786898.0,10006399.0,0.0,4764821.0,272982.0,0.0,0.0,0.0,0.0,1550055.0,2136482.0,0.0,146404.0,0.0,0.0,1184013.0,2132811.0,0.0,1048047.0,706150.0,39735062.0
NEW JERSEY,78630113.0,6840000.0,0.0,45465616.0,6824645.0,25268176.0,0.0,19191.0,123500000.0,3036786.0,4664999.0,20192703.0,1924516.0,4913009.0,0.0,0.0,31822641.0,0.0,1573772.0,0.0,354676167.0
NEW MEXICO,46002831.0,0.0,0.0,18307768.0,674848.0,0.0,17600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869838.0,5000000.0,4411811.0,0.0,540872.0,0.0,93407968.0
NEW YORK ,1029042930.0,72844341.0,31992782.0,127622444.0,4139133.0,10644.0,0.0,29877.0,0.0,250855122.0,22427649.0,3150922.0,5916.0,219665.0,161332949.0,3471916.0,266174783.0,41753188.0,0.0,0.0,2015074261.0
NORTH CAROLINA,36847046.0,0.0,69078116.0,1960627.0,267616.0,99462146.0,0.0,0.0,0.0,369273.0,110037.0,3275606.0,0.0,189785.0,5214713.0,0.0,19902516.0,3147042.0,3759.0,0.0,239828282.0
NORTH DAKOTA,1786838.0,15826047.0,9449364.0,492152.0,343279.0,0.0,0.0,0.0,0.0,19489.0,0.0,0.0,244168.0,0.0,1544461.0,0.0,3871257.0,96930.0,383951.0,0.0,34057936.0
OHIO,103005212.0,0.0,0.0,89898373.0,54990711.0,229608010.0,0.0,0.0,0.0,16881449.0,7064512.0,2070362.0,2437017.0,4384532.0,11921884.0,0.0,52864116.0,21642655.0,14072242.0,0.0,610841075.0
OKLAHOMA,15885294.0,7608305.0,0.0,2634269.0,380884.0,8283371.0,0.0,0.0,0.0,346385.0,1077780.0,439515.0,0.0,5377783.0,3159342.0,0.0,230913.0,2303197.0,337602.0,37985.0,48102625.0
OREGON,58859381.0,17344524.0,0.0,13244236.0,3889455.0,4650904.0,0.0,0.0,0.0,0.0,7251896.0,0.0,0.0,0.0,0.0,0.0,27359375.0,52200858.0,0.0,0.0,184800629.0
PENNSYLVANIA,148355534.0,0.0,61523605.0,93848180.0,5611736.0,77351451.0,0.0,0.0,0.0,12841427.0,0.0,0.0,30749180.0,2525593.0,0.0,0.0,41465566.0,0.0,9914876.0,0.0,484187148.0
RHODE ISLAND,22407579.0,0.0,0.0,8610581.0,1921152.0,16879051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072054.0,0.0,5498409.0,971150.0,2399673.0,0.0,62759649.0
SOUTH CAROLINA,51902981.0,0.0,0.0,13401475.0,722776.0,0.0,0.0,0.0,0.0,0.0,3538125.0,0.0,0.0,3825412.0,5050105.0,0.0,13742084.0,13367987.0,2638701.0,2538409.0,110728055.0
SOUTH DAKOTA,9267853.0,8313787.0,0.0,2379537.0,37956.0,0.0,0.0,0.0,0.0,0.0,131554.0,0.0,0.0,0.0,0.0,567992.0,1279397.0,0.0,0.0,0.0,21978076.0
TENNESSEE,42935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20887068.0,0.0,52581.0,0.0,20982584.0
TEXAS,4912686.0,46249949.0,194175136.0,77265772.0,2843061.0,0.0,0.0,0.0,0.0,3712799.0,0.0,0.0,6893981.0,14787750.0,0.0,6276635.0,62166717.0,0.0,14238912.0,0.0,433523398.0
UTAH,12816155.0,0.0,0.0,13605669.0,64316.0,3905567.0,7628748.0,1291155.0,0.0,2962906.0,6165520.0,5959530.0,210933.0,1011824.0,3725200.0,1297774.0,9507737.0,490993.0,723540.0,0.0,71367567.0
VERMONT,2475789.0,0.0,5769739.0,0.0,0.0,833951.0,0.0,0.0,18311655.0,190583.0,0.0,0.0,0.0,0.0,0.0,0.0,2606566.0,2604812.0,460056.0,0.0,33253151.0
VIRGINIA,27992510.0,0.0,0.0,14703290.0,1359952.0,325177.0,0.0,0.0,0.0,4727247.0,2679992.0,1052259.0,0.0,31753792.0,8159635.0,691805.0,16458861.0,0.0,1567494.0,4260987.0,115733001.0
WASHINGTON,122554177.0,0.0,8819663.0,51452818.0,0.0,79735290.0,0.0,0.0,0.0,176000.0,3296369.0,0.0,0.0,0.0,0.0,0.0,38730920.0,0.0,20724485.0,0.0,325489722.0
WEST VIRGINIA,1585750.0,23003720.0,0.0,473496.0,11089619.0,13271021.0,0.0,0.0,0.0,11858728.0,1558145.0,0.0,0.0,0.0,9643533.0,0.0,8889687.0,0.0,272302.0,0.0,81646001.0
WISCONSIN,1000.0,0.0,0.0,5764411.0,475.0,124575993.0,0.0,0.0,69700000.0,600000.0,554670.0,820793.0,0.0,0.0,5364296.0,7156402.0,10152217.0,118195.0,1845406.0,433674.0,227087532.0
WYOMING,4401020.0,0.0,0.0,3025816.0,0.0,0.0,939028.0,0.0,0.0,1197498.0,977195.0,0.0,0.0,0.0,0.0,244707.0,2764297.0,360008.0,55880.0,0.0,13965449.0
