,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Other
U.S. TOTAL,3957480683.0,219893248.0,39148687.0,546924638.0,2292020754.0,28193138.0,144729.0,1855145937.0,547154997.0,482259379.0,1734035546.0,41714856.0,816983816.0,48309022.0,2714412610.0
ALABAMA,0.0,38453.0,2272211.0,7516219.0,5478681.0,0.0,0.0,0.0,0.0,28248278.0,508210.0,65575.0,7954611.0,288918.0,53280816.0
ALASKA,31682624.0,3544811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746313.0,114633.0,0.0
ARIZONA,0.0,0.0,0.0,898432.0,10032936.0,0.0,0.0,0.0,0.0,22076278.0,0.0,0.0,9529957.0,1110722.0,88711360.0
ARKANSAS,0.0,0.0,0.0,0.0,0.0,523200.0,0.0,0.0,0.0,0.0,90420300.0,0.0,2811527.0,0.0,0.0
CALIFORNIA,2022682599.0,11103870.0,6029877.0,41903342.0,670939915.0,6556201.0,0.0,0.0,0.0,369817.0,7794596.0,759287.0,235829472.0,3389374.0,122580401.0
COLORADO,8663022.0,0.0,349584.0,185393.0,94728.0,128517.0,0.0,0.0,2818289.0,497062.0,3670.0,570.0,3739203.0,3123294.0,149503452.0
CONNECTICUT,62841626.0,3059105.0,0.0,17691042.0,36387933.0,2043049.0,0.0,0.0,0.0,0.0,0.0,527065.0,23798426.0,435582.0,83570422.0
DELAWARE,22586046.0,510741.0,0.0,959000.0,26507803.0,0.0,0.0,0.0,0.0,1174942.0,0.0,0.0,62204.0,36929.0,7365071.0
DIST.OF COLUMBIA,41373212.0,0.0,1006596.0,27824191.0,22584565.0,0.0,0.0,20000000.0,0.0,17307099.0,0.0,0.0,0.0,0.0,54357361.0
FLORIDA,139301139.0,0.0,0.0,0.0,128925050.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,9994985.0,5621332.0,148472938.0
GEORGIA,2200261.0,381131.0,0.0,54929.0,21801520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74013.0,3554399.0,145302275.0
HAWAII,20161798.0,0.0,558563.0,92336683.0,4971630.0,1334797.0,0.0,0.0,0.0,3357730.0,9973792.0,2422172.0,6045718.0,1357815.0,38101735.0
IDAHO,3760941.0,0.0,0.0,4554206.0,1175820.0,135372.0,144729.0,0.0,0.0,645817.0,0.0,0.0,1117022.0,231825.0,2718901.0
ILLINOIS,4717211.0,0.0,69284.0,101516.0,569104589.0,10801.0,0.0,0.0,0.0,0.0,0.0,0.0,627814.0,4975.0,62738324.0
INDIANA,7409838.0,0.0,0.0,4208924.0,15356947.0,0.0,0.0,32523897.0,0.0,0.0,0.0,0.0,0.0,0.0,61594285.0
IOWA,44712068.0,8834582.0,2114022.0,8113275.0,8564342.0,307145.0,0.0,24249685.0,0.0,0.0,0.0,0.0,2851678.0,448921.0,0.0
KANSAS,1637171.0,5580354.0,0.0,0.0,0.0,0.0,0.0,45774645.0,0.0,0.0,0.0,0.0,0.0,0.0,12953029.0
KENTUCKY,50642584.0,6569104.0,116088.0,3871188.0,42290.0,593479.0,0.0,0.0,0.0,0.0,0.0,0.0,146924.0,140192.0,15981649.0
LOUISIANA,0.0,0.0,0.0,0.0,10178934.0,0.0,0.0,17856913.0,0.0,0.0,27379441.0,0.0,0.0,0.0,0.0
