,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Other
MAINE,29749759.0,3350471.0,3072890.0,181690.0,1672869.0,362986.0,0.0,0.0,1507012.0,398361.0,0.0,0.0,0.0,0.0,0.0
MARYLAND,18912711.0,0.0,0.0,28316.0,18184561.0,0.0,0.0,156210587.0,0.0,40473182.0,0.0,16055.0,18885548.0,750247.0,86120211.0
MASSACHUSETTS,248685093.0,0.0,0.0,6395047.0,44973368.0,0.0,0.0,114321628.0,0.0,86821664.0,10255008.0,0.0,34616055.0,0.0,48871410.0
MICHIGAN,37235911.0,0.0,0.0,12457159.0,19670607.0,1025276.0,0.0,48226914.0,0.0,82608354.0,339033998.0,4513313.0,64447028.0,520709.0,7067638.0
MINNESOTA,10590159.0,0.0,0.0,1699745.0,83650000.0,0.0,0.0,124126562.0,12869340.0,179679.0,0.0,0.0,17894313.0,0.0,5700000.0
MISSISSIPPI,4164884.0,0.0,343959.0,14387505.0,1715430.0,756150.0,0.0,0.0,0.0,0.0,0.0,0.0,62971.0,282990.0,10419.0
MISSOURI,62450228.0,0.0,0.0,20706258.0,23176951.0,0.0,0.0,0.0,0.0,46906756.0,0.0,0.0,2753292.0,1111391.0,8436905.0
MONTANA,1608817.0,1313990.0,0.0,8321853.0,79279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403805.0,831078.0,932403.0
NEBRASKA,9639690.0,0.0,0.0,1749459.0,6498998.0,0.0,0.0,30609564.0,6766211.0,0.0,0.0,0.0,0.0,0.0,275839.0
NEVADA,10960494.0,0.0,0.0,1198373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659713.0,3296883.0,25719591.0
NEW HAMPSHIRE,16316779.0,0.0,0.0,1707484.0,4581872.0,288139.0,0.0,0.0,0.0,2415208.0,1779168.0,1937743.0,5416557.0,1417305.0,3241879.0
NEW JERSEY,59392986.0,26374178.0,3790226.0,29224113.0,0.0,0.0,0.0,168519312.0,0.0,1819998.0,542320119.0,150000.0,23871872.0,1005228.0,6427921.0
NEW MEXICO,345465.0,7895300.0,0.0,0.0,0.0,0.0,0.0,47620000.0,0.0,0.0,3092290.0,6500000.0,0.0,0.0,52835698.0
NEW YORK,435296225.0,101983998.0,0.0,967910.0,0.0,139450.0,0.0,967165395.0,519755421.0,21599751.0,231505468.0,0.0,136085208.0,4526556.0,439996595.0
NORTH CAROLINA,147.0,0.0,0.0,28857529.0,25667509.0,2781501.0,0.0,51812198.0,0.0,3512074.0,115243319.0,0.0,21215932.0,3159222.0,37329956.0
NORTH DAKOTA,4375523.0,1017036.0,0.0,2329322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347405.0,0.0,0.0,0.0
OHIO,152153723.0,0.0,0.0,9800.0,155253697.0,0.0,0.0,0.0,0.0,39313865.0,28447295.0,0.0,53543151.0,757243.0,9642463.0
OKLAHOMA,9864936.0,7047765.0,13864224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614915.0,3686208.0,9017957.0,1106186.0,13917523.0
OREGON,34429580.0,11092529.0,796097.0,9749750.0,69170.0,49334.0,0.0,0.0,11122.0,0.0,0.0,0.0,19918924.0,0.0,63994297.0
PENNSYLVANIA,30875928.0,0.0,31203.0,5189518.0,238164442.0,600375.0,0.0,0.0,0.0,8850702.0,104644068.0,0.0,17698666.0,1933869.0,0.0
RHODE ISLAND,528053.0,1064252.0,0.0,0.0,4256874.0,0.0,0.0,6128637.0,3427602.0,0.0,0.0,0.0,1510276.0,283975.0,75908754.0
SOUTH CAROLINA,860863.0,0.0,0.0,0.0,4085268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195147.0,875976.0,174959417.0
SOUTH DAKOTA,5479797.0,802914.0,0.0,1388816.0,0.0,47589.0,0.0,0.0,0.0,0.0,0.0,0.0,820884.0,0.0,0.0
TENNESSEE,18849011.0,14839442.0,0.0,25548054.0,4136340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16070528.0,254858.0,70233487.0
TEXAS,62851931.0,0.0,47305.0,7696239.0,26683595.0,319917.0,0.0,0.0,0.0,93181.0,0.0,0.0,1649354.0,84903.0,290172963.0
UTAH,6203302.0,0.0,2700.0,8988836.0,4474924.0,0.0,0.0,0.0,0.0,1371724.0,458841.0,0.0,1256708.0,148237.0,1983763.0
VERMONT,15692392.0,0.0,4683858.0,76597.0,17342416.0,0.0,0.0,0.0,0.0,1367166.0,0.0,0.0,3720943.0,570013.0,1708621.0
VIRGINIA,53429356.0,0.0,0.0,30777812.0,21328762.0,6761015.0,0.0,0.0,0.0,3788.0,0.0,10448301.0,12708822.0,2945509.0,6886255.0
WASHINGTON,6879857.0,0.0,0.0,88296008.0,54206139.0,9513.0,0.0,0.0,0.0,28784531.0,213207021.0,0.0,16666177.0,2553141.0,141094903.0
WEST VIRGINIA,26308088.0,2971392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166966.0,0.0,0.0
WISCONSIN,117441550.0,0.0,0.0,28773090.0,0.0,3419332.0,0.0,0.0,0.0,42062372.0,354027.0,9341162.0,14591235.0,0.0,89601604.0
WYOMING,1535305.0,517830.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5805917.0,34592.0,4110076.0
