,Total Basic Assistance,Assistance Under Prior Law,Non-Assistance Under Prior Law,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
MISSOURI,24566523.0,0.0,102815902.0,5905792.0,0.0,36400117.0,0.0,0.0,0.0,0.0,3730935.0,0.0,0.0,1010125.0,0.0,0.0,1461069.0,0.0,0.0,18811460.0,194701923.0
MONTANA,23449495.0,1618362.0,3137781.0,2574998.0,482780.0,481287.0,0.0,249778.0,0.0,69724.0,0.0,119341.0,318019.0,0.0,49166.0,0.0,4001386.0,3091847.0,1251363.0,0.0,40895327.0
NEBRASKA,18531582.0,0.0,0.0,11028587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835724.0,0.0,4167800.0,0.0,0.0,0.0,36563693.0
NEVADA,15729922.0,0.0,0.0,19090.0,570145.0,0.0,0.0,0.0,0.0,0.0,276780.0,0.0,51067.0,0.0,0.0,0.0,3256418.0,11582998.0,6302491.0,2102121.0,39891032.0
NEW HAMPSHIRE,7532611.0,8356446.0,0.0,758790.0,490903.0,0.0,0.0,0.0,0.0,188997.0,1124169.0,0.0,155501.0,148958.0,0.0,390362.0,3174113.0,0.0,1798738.0,1600419.0,25720007.0
NEW JERSEY,88610017.0,6840000.0,0.0,41955318.0,6740393.0,0.0,0.0,27479.0,113500000.0,3015809.0,5288333.0,11352058.0,1961876.0,5762216.0,0.0,0.0,31568348.0,0.0,1811236.0,0.0,318433083.0
NEW MEXICO,44859827.0,0.0,0.0,17640130.0,743701.0,0.0,17600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894565.0,5000000.0,4397765.0,0.0,675372.0,0.0,91811360.0
NEW YORK ,1010840242.0,92975082.0,58054119.0,131817588.0,4578071.0,10796.0,0.0,38457.0,0.0,155080235.0,33543024.0,4521258.0,0.0,200197.0,164077971.0,1148371.0,213163696.0,57051397.0,0.0,0.0,1927100504.0
NORTH CAROLINA,41569708.0,0.0,70930564.0,1679944.0,262356.0,91888410.0,0.0,0.0,0.0,323437.0,174402.0,3867847.0,0.0,161576.0,5564038.0,0.0,19445860.0,2949676.0,127671.0,0.0,238945489.0
NORTH DAKOTA,1474738.0,9899827.0,3746549.0,874350.0,753233.0,0.0,0.0,0.0,0.0,19006.0,0.0,0.0,237750.0,0.0,1704727.0,0.0,3888047.0,25051.0,531702.0,0.0,23154980.0
OHIO,112057767.0,0.0,0.0,87007936.0,38703370.0,245260216.0,0.0,0.0,0.0,12522759.0,6160531.0,2066440.0,1757498.0,3066982.0,6822652.0,0.0,56813010.0,18866495.0,17383032.0,0.0,608488688.0
OKLAHOMA,30204235.0,8773765.0,0.0,3797329.0,572345.0,18664078.0,0.0,0.0,0.0,280222.0,513038.0,456145.0,0.0,5664115.0,4146628.0,0.0,1313951.0,2255715.0,447196.0,61828.0,77150590.0
OREGON,59560601.0,15632917.0,0.0,9547568.0,3052278.0,3564540.0,0.0,0.0,0.0,0.0,6329882.0,0.0,0.0,0.0,0.0,0.0,24342096.0,63013618.0,0.0,0.0,185043500.0
PENNSYLVANIA,177487631.0,0.0,81730801.0,83553766.0,5879621.0,68819001.0,0.0,0.0,0.0,13072685.0,0.0,0.0,39115053.0,2234641.0,0.0,0.0,28151770.0,0.0,8952476.0,0.0,508997445.0
