,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
U.S. TOTAL,4485938448.0,71669952.0,240639133.0,571524430.0,1621335483.0,1160603769.0,141844186.0,698956.0,163273911.0,0.0,233914531.0,845599843.0,215994789.0,1236856515.0,173097519.0,876895435.0,1987218156.0
ALABAMA,39734089.0,0.0,1385099.0,0.0,13999144.0,0.0,531001.0,0.0,0.0,0.0,0.0,983138.0,289164.0,-682622.0,742497.0,0.0,16890974.0
ALASKA,8105336.0,-5685635.0,1059874.0,0.0,12530208.0,19456606.0,149164.0,0.0,0.0,0.0,0.0,374222.0,0.0,2536550.0,334777.0,0.0,0.0
ARIZONA,32050396.0,0.0,1181852.0,0.0,7221577.0,2915264.0,125336.0,0.0,0.0,0.0,7568395.0,0.0,0.0,20569528.0,4181170.0,21699433.0,106011764.0
ARKANSAS,11104361.0,0.0,0.0,0.0,17105422.0,361408.0,1720116.0,589294.0,0.0,0.0,49021.0,837659.0,2089466.0,7905836.0,2628316.0,7775765.0,-5022300.0
CALIFORNIA,1053332545.0,29540008.0,129702839.0,238615367.0,534523819.0,84331334.0,53251055.0,0.0,0.0,0.0,110192.0,510439711.0,0.0,278489038.0,49727876.0,0.0,249452890.0
COLORADO,70632359.0,0.0,2522072.0,0.0,2031161.0,172929.0,1343190.0,0.0,0.0,0.0,4015359.0,189613.0,196680.0,8926798.0,4740369.0,478805.0,51103735.0
CONNECTICUT,20573812.0,0.0,0.0,959263.0,0.0,0.0,3057721.0,0.0,0.0,0.0,19209.0,56853330.0,20453602.0,13894276.0,0.0,16042544.0,108255540.0
DELAWARE,-1269104.0,2115874.0,375561.0,0.0,5601421.0,32153076.0,0.0,0.0,0.0,0.0,1866000.0,0.0,0.0,6124595.0,0.0,0.0,0.0
DIST.OF COLUMBIA,18960579.0,0.0,0.0,0.0,6818672.0,33131694.0,0.0,0.0,0.0,0.0,0.0,1434018.0,0.0,5881196.0,2700056.0,0.0,7148823.0
FLORIDA,26242812.0,10332016.0,-7205.0,0.0,50683679.0,87929341.0,925543.0,0.0,0.0,0.0,712410.0,1261172.0,0.0,19546480.0,6145164.0,0.0,190278200.0
GEORGIA,40383751.0,0.0,6059115.0,0.0,10720940.0,0.0,4869017.0,0.0,0.0,0.0,30879.0,11979859.0,1375372.0,10678146.0,3200771.0,26169705.0,218417649.0
HAWAII,38489360.0,0.0,747422.0,0.0,4634293.0,0.0,1096972.0,0.0,0.0,0.0,412947.0,6858845.0,0.0,6932798.0,1516779.0,0.0,0.0
IDAHO,2903606.0,57851.0,93596.0,0.0,1195776.0,2774761.0,0.0,52000.0,0.0,0.0,1730740.0,397242.0,0.0,2870664.0,884221.0,8315345.0,1441436.0
ILLINOIS,72700401.0,0.0,3972544.0,0.0,21884609.0,141001587.0,542779.0,0.0,40747059.0,0.0,0.0,0.0,0.0,25172040.0,151103.0,258793885.0,16199691.0
INDIANA,16031969.0,0.0,0.0,0.0,10780228.0,273281.0,0.0,0.0,0.0,0.0,0.0,405952.0,0.0,13480363.0,5302747.0,0.0,38037132.0
IOWA,5573995.0,0.0,0.0,0.0,10223606.0,1984711.0,304497.0,0.0,0.0,0.0,136287.0,58544206.0,0.0,4595963.0,333424.0,0.0,0.0
KANSAS,21149943.0,0.0,3706845.0,17298391.0,500723.0,0.0,1386274.0,0.0,0.0,0.0,135371.0,-138020.0,1582021.0,7248656.0,2994279.0,0.0,12801064.0
KENTUCKY,81427215.0,18371837.0,2231705.0,0.0,30010083.0,6407362.0,16548487.0,0.0,0.0,0.0,0.0,0.0,0.0,9989592.0,1067737.0,0.0,14363194.0
