,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Assistance Under Prior Law,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Non-Assistance Under Prior Law,Other
LOUISIANA,20348760.0,0.0,808105.0,0.0,5256501.0,0.0,88318.0,0.0,0.0,0.0,0.0,1579988.0,52979123.0,17795901.0,1839840.0,0.0,46518169.0
MAINE,15502966.0,473362.0,6820983.0,0.0,10514313.0,169887.0,400841.0,0.0,0.0,0.0,235070.0,0.0,0.0,2893183.0,144153.0,610850.0,0.0
MARYLAND,97835859.0,0.0,0.0,0.0,43336884.0,264916.0,7052443.0,0.0,0.0,0.0,2236157.0,93832.0,47025086.0,30751738.0,5278095.0,0.0,0.0
MASSACHUSETTS,44015175.0,0.0,0.0,0.0,0.0,186750776.0,0.0,0.0,0.0,0.0,0.0,5313883.0,0.0,0.0,0.0,0.0,131095554.0
MICHIGAN,130000115.0,0.0,0.0,0.0,50415575.0,0.0,7099729.0,0.0,0.0,0.0,3252906.0,127457072.0,29145384.0,85838139.0,9063636.0,52674621.0,195117576.0
MINNESOTA,75447174.0,0.0,0.0,0.0,64487441.0,0.0,3188164.0,0.0,21783000.0,0.0,31257841.0,1479463.0,0.0,28394576.0,208872.0,0.0,3184684.0
MISSISSIPPI,10225335.0,0.0,4995742.0,0.0,18161923.0,0.0,6888218.0,0.0,0.0,0.0,0.0,4108834.0,62678.0,2853127.0,420154.0,0.0,3746658.0
MISSOURI,21338825.0,0.0,0.0,0.0,2893303.0,17852530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862069.0,0.0,114526748.0,50473167.0
MONTANA,14157139.0,0.0,0.0,2565267.0,2720449.0,413600.0,0.0,0.0,0.0,0.0,0.0,1057841.0,0.0,3337126.0,1623311.0,1427740.0,596529.0
NEBRASKA,13773027.0,0.0,0.0,0.0,16391785.0,0.0,0.0,0.0,0.0,0.0,0.0,263334.0,0.0,3433879.0,402733.0,0.0,9528234.0
NEVADA,39056542.0,0.0,700526.0,0.0,94031.0,0.0,641138.0,0.0,0.0,0.0,0.0,0.0,0.0,2514153.0,2669970.0,0.0,8780658.0
NEW HAMPSHIRE,5274309.0,0.0,0.0,2496207.0,4871978.0,0.0,934746.0,0.0,0.0,0.0,195933.0,574221.0,158275.0,3548990.0,1170501.0,0.0,1852717.0
NEW JERSEY,159140343.0,11656165.0,11012467.0,0.0,67287015.0,0.0,731708.0,54484.0,18393000.0,0.0,-2007068.0,15028914.0,5754974.0,39221900.0,3088928.0,6840000.0,1334696.0
NEW MEXICO,46819525.0,0.0,0.0,0.0,13031346.0,241194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6846372.0,713108.0,0.0,763343.0
NEW YORK,1312205244.0,0.0,0.0,192826738.0,167247135.0,0.0,7870480.0,0.0,0.0,0.0,151455950.0,5068283.0,0.0,195326872.0,2289327.0,18186643.0,300049425.0
NORTH CAROLINA,54342903.0,0.0,0.0,616860.0,5461644.0,77610791.0,469015.0,0.0,0.0,0.0,781495.0,0.0,107.0,25110263.0,0.0,72977789.0,3884555.0
NORTH DAKOTA,257030.0,0.0,353269.0,14279844.0,1573723.0,0.0,971185.0,0.0,0.0,0.0,26243.0,0.0,2449665.0,3551786.0,410421.0,4209409.0,20869.0
OHIO,130445225.0,0.0,5775406.0,0.0,73821516.0,244192372.0,5836497.0,0.0,0.0,0.0,11411203.0,2340600.0,2568808.0,106092651.0,560344.0,0.0,30323510.0
OKLAHOMA,8416105.0,0.0,13022526.0,8910413.0,0.0,27094945.0,0.0,0.0,0.0,0.0,93466.0,1418229.0,3112018.0,14358159.0,972817.0,0.0,15800356.0
OREGON,105769586.0,2597883.0,1159650.0,-44401.0,8825806.0,-12767.0,74004.0,0.0,0.0,0.0,0.0,-70.0,0.0,27470497.0,-31663.0,0.0,55316099.0
PENNSYLVANIA,225315522.0,0.0,6916690.0,0.0,80583895.0,20118954.0,1632403.0,0.0,0.0,0.0,4125001.0,21164360.0,1515936.0,44517148.0,8322657.0,52489900.0,0.0
RHODE ISLAND,22766288.0,1582814.0,208771.0,0.0,10261560.0,6961125.0,3338948.0,0.0,0.0,0.0,0.0,0.0,0.0,7386338.0,1726630.0,0.0,9537265.0
SOUTH CAROLINA,20970454.0,0.0,2097494.0,0.0,15015084.0,0.0,12602.0,0.0,0.0,0.0,0.0,11553.0,0.0,11972682.0,3318864.0,0.0,34786274.0
SOUTH DAKOTA,10049202.0,0.0,0.0,3352316.0,2719130.0,0.0,47589.0,0.0,0.0,0.0,0.0,0.0,0.0,1887968.0,0.0,0.0,896432.0
TENNESSEE,62436865.0,9737.0,0.0,0.0,12900059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12721052.0,3415277.0,0.0,0.0
TEXAS,1515356.0,0.0,507698.0,74434207.0,81645290.0,0.0,3704902.0,0.0,0.0,0.0,7732068.0,3950195.0,7925803.0,39570096.0,14937417.0,202373018.0,26640816.0
UTAH,18360212.0,0.0,0.0,0.0,18994789.0,0.0,-1.0,0.0,0.0,0.0,1371723.0,4268364.0,-71898.0,3984474.0,334952.0,0.0,6472627.0
VERMONT,2805771.0,0.0,1859101.0,2873036.0,0.0,1201008.0,0.0,0.0,19850852.0,0.0,1143628.0,0.0,0.0,3262106.0,398287.0,0.0,0.0
VIRGINIA,45933983.0,0.0,0.0,0.0,21280139.0,5927.0,1354514.0,3178.0,0.0,0.0,654503.0,0.0,32273842.0,4725493.0,1001147.0,0.0,2916299.0
WASHINGTON,174061390.0,0.0,0.0,0.0,75852213.0,0.0,3655591.0,0.0,0.0,0.0,384802.0,0.0,0.0,38150542.0,8353537.0,11303235.0,0.0
WEST VIRGINIA,4311670.0,618040.0,31369386.0,12340922.0,1558145.0,8299211.0,0.0,0.0,0.0,0.0,1771489.0,0.0,0.0,13684810.0,9840583.0,0.0,11705528.0
WISCONSIN,33287614.0,0.0,0.0,0.0,972899.0,156545946.0,0.0,0.0,62500000.0,0.0,615589.0,0.0,5108683.0,9130016.0,3959219.0,0.0,1344469.0
WYOMING,1625509.0,0.0,0.0,0.0,2694551.0,0.0,0.0,0.0,0.0,0.0,389722.0,0.0,0.0,1502512.0,13116.0,0.0,9151855.0
