,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,223244.4167,387328.8333,614967955.0,229.55705,132.30961666666667
Maine,89089.0833,167857.6667,218217647.0,204.119325,108.33466666666666
Massachusetts,451071.5833,770565.5,1159118509.0,214.14164166666666,125.35366666666667
New Hampshire,43489.25,86501.6667,101469828.0,194.43469166666668,97.75325
New York,1565541.25,2796620.1667,4526970965.0,240.969425,134.89410833333332
Rhode Island,94204.8333,158986.1667,259191919.0,229.28045,135.85664166666666
Vermont,40933.5833,73057.5833,106782062.0,217.38886666666667,121.80125
Virgin Islands,15064.0833,32832.6667,86935571.0,480.9207916666667,220.65313333333333
Delaware,68554.1667,140297.5,196899033.0,239.347275,116.95328333333333
District of Columbia,68854.8333,112282.0833,188433398.0,228.05636666666666,139.85119166666667
Maryland,343933.4167,646483.25,910098604.0,220.51230833333332,117.314025
New Jersey,379343.1667,760303.1667,1012654300.0,222.45783333333333,110.99238333333334
Pennsylvania,956434.5,1818588.8333,2592183684.0,225.85478333333333,118.781825
Virginia,352312.6667,736220.9167,1051800978.0,248.784925,119.05405
West Virginia,165378.4167,321008.8333,440298715.0,221.86425833333334,114.300775
Alabama,360067.0,766680.5833,1084563290.0,251.0096,117.885175
Florida,1747853.0833,3347518.3333,5763762595.0,274.80201666666665,143.483475
Georgia,721490.5833,1556452.4167,2336788286.0,269.9028416666667,125.11295
Kentucky,285763.3333,615305.3333,853986982.0,249.03678333333335,115.658975
Mississippi,231847.3333,505308.3333,679722657.0,244.314025,112.09701666666666
North Carolina,643153.4167,1344484.5,1919051873.0,248.65138333333334,118.94595
South Carolina,307859.1667,658119.0833,943922431.0,255.5071,119.52275
Tennessee,471342.0833,970875.0,1424890904.0,251.920875,122.30298333333333
Illinois,920271.4167,1826010.9167,2777948512.0,251.55155833333333,126.77674166666667
Indiana,275367.9167,617032.4167,867533147.0,262.5375916666667,117.16471666666666
Iowa,165116.0,345406.0833,446259982.0,225.22549166666667,107.66554166666667
Michigan,684001.0833,1281861.5,1894038446.0,230.75480833333333,123.130725
Minnesota,212453.25,428986.0,544420005.0,213.545025,105.75714166666667
Ohio,710023.5,1421365.5833,2078237006.0,243.91645833333334,121.84509166666666
Wisconsin,329203.0,652884.5833,816882114.0,206.782775,104.26576666666666
Arizona,387657.1667,845732.5,1210429898.0,260.2019666666667,119.26839166666667
Arkansas,164761.3333,372451.1667,480472657.0,243.01446666666666,107.50238333333333
Louisiana,403387.9167,867341.5833,1297321641.0,268.00539166666664,124.6454
New Mexico,220341.25,456250.5833,638421821.0,241.451925,116.606575
Oklahoma,268710.5833,585064.0,832653493.0,258.225,118.59863333333334
Texas,1636052.25,3895206.8333,5525177455.0,281.42833333333334,118.204625
Utah,77795.0833,189092.6667,258536027.0,276.94126666666665,113.93709166666666
Colorado,221726.4167,449823.8333,668610833.0,251.289725,123.86530833333333
Kansas,101445.8333,217419.5833,293539988.0,241.13031666666666,112.509025
Missouri,342323.3333,736590.3333,1061334229.0,258.36544166666664,120.072875
Montana,56024.5833,115222.8333,158389738.0,235.59559166666668,114.55320833333333
Nebraska,76451.1667,169811.0833,229206174.0,249.83940833333332,112.48096666666666
North Dakota,25071.5833,52621.0,75391175.0,250.58640833333334,119.39335833333334
South Dakota,39968.3333,87409.8333,131112641.0,273.36775,124.99799166666666
Wyoming,12988.8333,29330.1667,40676283.0,260.96956666666665,115.5701
Alaska,40515.5,91995.0,187357117.0,385.3609833333333,169.71675833333333
American Samoa,1927173.0,3875364.0,517228663.0,268.3873,133.4658
Total,492935.0,852952.0,102530156.0,207.9993,120.2062
