,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,205771.5833,378677.0833,647390087.0,262.1799,142.4675
Maine,126183.8333,247943.25,382131426.0,252.3642,128.4338
Massachusetts,447065.9167,813630.9167,1291609491.0,240.7567,132.2886
New Hampshire,54133.8333,113407.0,162679478.0,250.4279,119.5396
New York,1600689.75,2999990.5833,5350660541.0,278.5602,148.6299
Rhode Island,86368.25,160201.0833,274736117.0,265.0821,142.9121
Vermont,46238.5833,92037.75,134856526.0,243.0447,122.1025
Delaware,61876.8333,134926.8333,205304944.0,276.4968,126.8002
District of Columbia,76075.3333,134845.0833,229250674.0,251.1224,141.6753
Maryland,328327.5833,667737.9167,1035175750.0,262.7396,129.1894
New Jersey,370887.0833,759136.0833,1213993288.0,272.7679,133.2648
Pennsylvania,815764.5833,1718210.6667,2647473519.0,270.4491,128.4026
Puerto Rico,,,,,
Virginia,406811.1667,858782.1667,1335038906.0,273.4764,129.5477
Virgin Islands,9359.0,22654.9167,47877095.0,426.3017,176.11
West Virginia,160721.0,345955.4167,497390191.0,257.8953,119.8108
Alabama,404792.5,920364.75,1492961298.0,307.3512,135.1784
Florida,1659063.1667,3074670.5,5148715738.0,258.6156,139.5465
Georgia,789785.0833,1780039.25,2891615163.0,305.1057,135.3723
Kentucky,381739.5833,823471.8333,1260888769.0,275.2506,127.5989
Mississippi,273029.4167,622596.4167,921109139.0,281.1386,123.2887
North Carolina,734482.3333,1590068.9167,2377093020.0,269.7016,124.5802
South Carolina,390936.4167,844404.6667,1339644859.0,285.5632,132.208
Tennessee,611502.0,1275789.75,2048637590.0,279.1811,133.815
Illinois,859784.8333,1793886.4167,2995469012.0,290.3313,139.1517
Indiana,381216.5,877559.8333,1386478333.0,303.082,131.6604
Michigan,967565.6667,1928477.6667,3151479174.0,271.4268,136.1816
Minnesota,245585.3333,505918.6667,698408893.0,236.9879,115.0397
Ohio,847376.5,1779237.0,2986317777.0,293.6827,139.8688
Wisconsin,370371.8333,801072.9167,1117802969.0,251.5047,116.2819
Arkansas,210670.0,486451.0833,722195399.0,285.674,123.7184
Louisiana,388515.8333,884518.6667,1386115227.0,297.3099,130.5903
New Mexico,179006.9167,414274.75,631681353.0,294.0675,127.0657
Oklahoma,272189.0833,614703.6667,947338484.0,290.0369,128.4275
Texas,1608475.9167,3977272.6667,5993125493.0,310.4971,125.5703
Colorado,200063.5833,453103.0,762800608.0,317.7326,140.292
Iowa,173186.0,373855.5833,566732507.0,272.6993,126.3261
Kansas,138909.5,298642.0833,452767878.0,271.6204,126.3407
Missouri,433898.8333,943088.0,1437886768.0,276.1563,127.0548
Montana,57132.5,124242.9167,193310950.0,281.9629,129.6593
Nebraska,76182.5833,174203.9167,256477504.0,280.5513,122.6903
North Dakota,27892.5,60902.0833,95918344.0,286.5715,131.2467
South Dakota,43585.25,101817.25,162135500.0,309.9969,132.7014
Utah,111799.0,283970.75,401261439.0,299.0944,117.7532
Wyoming,15341.4167,36030.9167,53162213.0,288.7728,122.9551
Alaska,35072.1667,86044.0833,176385311.0,419.1009,170.8284
American Samoa,,,,,
Arizona,465374.8333,1067616.5,1648821864.0,295.2498,128.6996
California,1612825.0833,3672980.0833,6481947277.0,334.9168,147.0638
Guam,12945.0,40631.25,105440192.0,678.7704,216.2543
Hawaii,79624.3333,159644.4167,412604147.0,431.8238,215.3766
Idaho,96372.3333,228628.9167,361999149.0,313.0213,131.9457
Nevada,156319.0833,332958.75,496867234.0,264.8787,124.3566
Oregon,419693.1667,772756.25,1189202056.0,236.1253,128.2425
Washington,543532.5833,1054693.1667,1602557358.0,245.7009,126.6211
Outlying Areas,,,,,
