,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,180462.9167,336064.4167,569684382.0,263.0662,141.2637
Maine,114210.5,229731.0,356097335.0,259.8253,129.1718
Massachusetts,407303.8333,749120.5,1165907744.0,238.5418,129.6974
New Hampshire,49537.25,104375.3333,151813784.0,255.3866,121.2082
New York,1463135.3333,2757836.0,4984900302.0,283.9166,150.6284
Rhode Island,72839.75,138965.9167,237618372.0,271.8506,142.492
Vermont,42434.3333,85538.1667,124311833.0,244.1259,121.1076
Delaware,50507.0,112513.0833,171155272.0,282.3953,126.7669
District of Columbia,66032.1667,118492.9167,195893308.0,247.2195,137.7672
Maryland,265796.25,560848.3333,877975713.0,275.2659,130.4535
New Jersey,303764.8333,622022.25,1030292837.0,282.6454,138.03
Pennsylvania,740185.8333,1574782.5,2332575204.0,262.6114,123.4337
Puerto Rico,,,,,
Virginia,364825.0833,786157.25,1213496417.0,277.1868,128.6316
Virgin Islands,8145.0,20327.6667,42984699.0,439.7862,176.2159
West Virginia,154886.1667,341155.75,486939521.0,261.9878,118.9436
Alabama,344787.9167,805095.1667,1226018708.0,296.3219,126.902
Florida,1370563.25,2603185.25,4416942533.0,268.5601,141.3954
Georgia,681782.25,1591078.25,2565169527.0,313.5372,134.3517
Kentucky,353226.5833,778113.9167,1186291238.0,279.8702,127.0477
Mississippi,247947.3333,575674.3333,846542922.0,284.517,122.5437
North Carolina,611325.0833,1346494.8333,2072127398.0,282.4639,128.2421
South Carolina,359505.9167,797109.75,1256298352.0,291.2095,131.3389
Tennessee,573724.75,1224023.0,1966107581.0,285.5765,133.8556
Illinois,775019.0,1645722.0833,2784473892.0,299.3985,140.9956
Indiana,347834.6667,813403.4167,1291225153.0,309.3484,132.2863
Michigan,865508.25,1776367.9167,2808763231.0,270.4349,131.7653
Minnesota,209815.5,430345.75,624886794.0,248.189,121.0048
Ohio,751298.8333,1607422.0,2733689660.0,303.2182,141.7223
Wisconsin,317015.25,715213.1667,1000496070.0,262.9989,116.5732
Arkansas,197624.25,466597.75,686400617.0,289.4384,122.5896
Louisiana,353494.75,825917.9167,1286198597.0,303.2102,129.7747
New Mexico,150795.8333,356821.9167,541806403.0,299.415,126.5352
Oklahoma,251247.8333,582491.5,899655548.0,298.3958,128.708
Texas,1407082.6667,3551580.6667,5447397414.0,322.6177,127.8163
Colorado,176289.1667,404678.5,687709379.0,325.0859,141.6164
Iowa,156529.1667,340303.6667,526119310.0,280.0965,128.8357
Kansas,122943.3333,269709.5833,402630483.0,272.9106,124.4025
Missouri,408716.9167,901349.25,1361300993.0,277.5558,125.8577
Montana,51148.1667,113569.5,176546027.0,287.6382,129.5433
Nebraska,70541.5833,162816.5833,237577180.0,280.6585,121.5976
North Dakota,27231.75,59888.3333,95014675.0,290.7595,132.2109
South Dakota,40053.8333,95336.0,153075454.0,318.4786,133.8035
Utah,98804.5,247405.1667,366903456.0,309.4524,123.5839
Wyoming,14472.6667,34799.0,51674879.0,297.5429,123.7461
Alaska,30440.9167,76445.1667,159413978.0,436.4027,173.7781
American Samoa,,,,,
Arizona,439364.1667,1018170.6667,1587702249.0,301.1363,129.9473
California,1391359.25,3238547.9167,5691851784.0,340.9048,146.461
Guam,11595.3333,36925.75,96695105.0,694.9283,218.2197
Hawaii,69401.5,138165.9167,358144853.0,430.0398,216.0113
Idaho,78378.1667,194033.3333,299552014.0,318.4901,128.6514
Nevada,128979.25,278105.4167,414596369.0,267.8702,124.2324
Oregon,373818.9167,705034.9167,1066932095.0,237.8451,126.1087
Washington,474700.75,956003.6667,1386585984.0,243.414,120.8665
Outlying Areas,,,,,
