,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,242982.0833,438558.8333,697435672.0,239.1931,132.5242
Maine,122690.4167,230535.5833,321550513.0,218.4024,116.2331
Massachusetts,489039.4167,863411.9167,1272977488.0,216.918,122.8631
New Hampshire,53559.0,111701.3333,140718624.0,218.9464,104.9813
New York,1698559.25,3122878.8333,5200758093.0,255.1554,138.7811
Rhode Island,101002.25,178517.8333,279843287.0,230.8887,130.6327
Vermont,48574.6667,92999.6667,130324476.0,223.581,116.7786
Delaware,71408.0,150232.3333,220352805.0,257.1523,122.2289
District of Columbia,80360.25,142706.9167,222604041.0,230.8397,129.9891
Maryland,403781.3333,787597.25,1133135874.0,233.8592,119.8938
New Jersey,439694.5,883434.4167,1290688313.0,244.6184,121.7491
Pennsylvania,889725.1667,1796154.3333,2573657445.0,241.0536,119.4059
Puerto Rico,,,,,
Virginia,443606.5833,918902.0833,1303281631.0,244.8269,118.1919
Virgin Islands,12477.9167,27823.9167,55099458.0,367.9798,165.0243
West Virginia,176028.6667,362500.8333,476134200.0,225.4056,109.4559
Alabama,419552.0,902073.1667,1318133562.0,261.8137,121.7689
Florida,1920697.3333,3526311.25,5472834001.0,237.45,129.3333
Georgia,882114.8333,1942688.9167,2827853876.0,267.1472,121.3033
Kentucky,399206.75,828075.8333,1170989948.0,244.441,117.8425
Mississippi,302201.75,656871.3333,912985504.0,251.7594,115.825
North Carolina,761104.5833,1575675.75,2383571501.0,260.9772,126.0608
South Carolina,395208.5,834511.0,1235696260.0,260.5579,123.3952
Tennessee,650250.8333,1312505.3333,1951918832.0,250.1495,123.9309
Illinois,1021149.8333,2015303.1667,3202509863.0,261.3483,132.4247
Indiana,404575.0833,892698.5833,1311468403.0,270.1329,122.4255
Michigan,872538.3333,1679420.6667,2576165148.0,246.0413,127.8301
Minnesota,260437.0,533743.3333,670202668.0,214.4481,104.6387
Ohio,851972.25,1752135.1667,2582757967.0,252.6254,122.8386
Wisconsin,420833.0833,841532.8333,1112980884.0,220.3924,110.2137
Arkansas,221446.1667,491964.6667,663719268.0,249.767,112.4266
Louisiana,396427.75,877340.1667,1288316273.0,270.8178,122.3695
New Mexico,195258.3333,431493.5,629160453.0,268.5163,121.5083
Oklahoma,279605.5,608492.3333,865049765.0,257.8185,118.469
Texas,1607669.3333,3852674.9167,5330650619.0,276.3136,115.3019
Colorado,234097.6667,505169.25,765737085.0,272.5846,126.3169
Iowa,193372.3333,408069.75,532085213.0,229.3008,108.659
Kansas,132825.4167,293456.0833,395209994.0,247.9508,112.2286
Missouri,403912.75,858415.5833,1236444630.0,255.0973,120.0317
Montana,59097.0,124906.0833,176169543.0,248.4186,117.5347
Nebraska,76918.5833,173530.3333,238904358.0,258.8282,114.7275
North Dakota,25011.1667,53753.1667,75765024.0,252.4373,117.4582
South Dakota,44038.9167,100937.9167,148938276.0,281.8308,122.9619
Utah,90570.0833,229911.3333,316671764.0,291.369,114.7804
Wyoming,15249.4167,35871.0,49272569.0,269.2593,114.467
Alaska,36997.1667,87486.3333,174241813.0,392.4666,165.9705
American Samoa,,,,,
Arizona,449639.8333,1044310.0833,1476761898.0,273.6935,117.8419
California,2019272.25,4349634.25,7411483685.0,305.8645,141.9944
Guam,15479.5,47289.25,108433869.0,583.7498,191.0827
Hawaii,98829.9167,194263.9167,525397960.0,443.0153,225.3798
Idaho,90161.1667,211780.8333,295662973.0,273.2727,116.34
Nevada,188739.0,383621.8333,536711313.0,236.9724,116.5886
Oregon,448855.4167,802190.0833,1161871005.0,215.71,120.6978
Washington,585104.5,1095551.0833,1547545882.0,220.4088,117.7144
Outlying Areas,,,,,
