,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,197760.75,340446.5,584718600.0,246.39140833333335,143.125425
Maine,78862.1667,144432.6667,203630527.0,215.17555833333333,117.48873333333333
Massachusetts,416128.25,703516.1667,1131148466.0,226.52240833333335,133.9875
New Hampshire,36684.5833,70411.8333,92889191.0,211.00869166666666,109.93558333333333
New York,1512387.3333,2661700.3333,4339617966.0,239.11521666666667,135.86609166666668
Rhode Island,84445.25,141232.4167,244223564.0,241.0078,144.10263333333333
Vermont,38423.0,68276.8333,100248674.0,217.42331666666666,122.35565
Virgin Islands,10394.6667,21331.0,45039243.0,361.0765333333333,175.95379166666666
Delaware,58622.1667,119786.75,178138585.0,253.22984166666666,123.92758333333333
District of Columbia,60156.25,101230.0833,172078913.0,238.37771666666666,141.6566
Maryland,308166.9167,570443.6667,878649666.0,237.601125,128.35764166666667
New Jersey,325992.3333,649127.5,953558696.0,243.75795833333333,122.41543333333334
Pennsylvania,872821.5833,1627639.6667,2513696584.0,239.997175,128.69845833333332
Virginia,318521.75,654882.25,1002380166.0,262.2479666666667,127.55221666666667
West Virginia,148108.3333,282662.25,397899950.0,223.87889166666668,117.30724166666667
Alabama,315550.5833,667042.9167,1032064886.0,272.5566416666667,128.93534166666666
Florida,1429884.0833,2649741.3333,4035386245.0,235.18143333333333,126.911325
Georgia,614749.6667,1332675.25,2115101241.0,286.7157916666667,132.25910833333333
Kentucky,226832.0,502241.0833,739297747.0,271.6025333333333,122.66648333333333
Mississippi,195903.0,420872.8333,605780127.0,257.68710833333336,119.9452
North Carolina,590074.5,1228423.6667,1863656810.0,263.195125,126.42603333333334
South Carolina,259707.3333,558721.5,854652751.0,274.23585833333334,127.47149166666667
Tennessee,398957.75,832129.9167,1307248122.0,273.0548333333333,130.91386666666668
Illinois,816044.0833,1639396.3333,2646035880.0,270.2096583333333,134.50255
Indiana,238303.1667,530384.1667,819644875.0,286.6254,128.78163333333333
Iowa,142502.0833,295681.6667,429315218.0,251.05785833333334,120.9959
Michigan,631698.8333,1181972.25,1701430344.0,224.451675,119.95701666666666
Minnesota,193683.5,381778.5833,509464759.0,219.19986666666668,111.20424166666666
Ohio,632170.8333,1273256.75,2020497444.0,266.34380833333336,132.23945833333335
Wisconsin,291720.6667,572323.25,778373061.0,222.35113333333334,113.33529166666666
Arizona,345106.4167,736882.5833,1146712214.0,276.89821666666666,129.68056666666666
Arkansas,159230.8333,354916.75,460333605.0,240.91523333333333,108.084875
Louisiana,348643.0833,749560.3333,1214657938.0,290.32985,135.04115833333333
New Mexico,204244.75,415160.9167,632907856.0,258.230975,127.04066666666667
Oklahoma,247672.9167,531727.8333,819546294.0,275.7488583333333,128.44075833333332
Texas,1364934.6667,3187238.0833,4767112796.0,291.0464583333333,124.64064166666667
Utah,67803.0,160829.25,234552832.0,288.27735,121.53305
Colorado,207747.75,415289.4167,638999751.0,256.32036666666664,128.22378333333333
Kansas,87157.5833,185329.1667,265322548.0,253.680875,119.30239166666667
Missouri,299267.5,639337.8333,996212141.0,277.40291666666667,129.84946666666667
Montana,48973.8333,99368.4167,146944184.0,250.0386,123.2318
Nebraska,67642.8333,148767.5833,221960791.0,273.4470416666667,124.33308333333333
North Dakota,21864.1667,45311.8333,68485818.0,261.027625,125.95278333333333
South Dakota,35168.1667,75020.3333,121995672.0,289.07694166666664,135.51400833333332
Wyoming,10912.0833,24308.9167,36277115.0,277.04085833333335,124.36148333333334
Alaska,35493.4167,78932.0,171091672.0,401.6981333333333,180.631925
American Samoa,,,,,
California,1803402.0,3529470.0,5977281299.0,276.20395833333333,141.127925
Guam,14316.8333,40930.25,100147900.0,582.926275,203.89951666666667
Hawaii,74819.6667,144922.4167,448431408.0,499.45804166666665,257.85716666666667
Idaho,61389.5833,135922.0833,192918233.0,261.87699166666664,118.27746666666667
Nevada,206100.0,391568.5,587551886.0,237.567475,125.04238333333333
Oregon,324902.8333,554927.4167,884189650.0,226.7831,132.778575
Washington,482024.6667,833127.9167,1192380309.0,206.14095833333334,119.26743333333333
Commonwealth of Northern Mariana Islands,,,,,
