,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,235305.5,410344.4167,653086669.0,231.29034166666668,132.629775
Maine,93390.5,179734.1667,234405832.0,209.16280833333334,108.681725
Massachusetts,445839.75,766115.5833,1159027643.0,216.63756666666666,126.07188333333333
New Hampshire,45859.25,92456.5833,112617204.0,204.64283333333333,101.50458333333333
New York,1610722.5833,2910894.0,4737481755.0,245.10126666666667,135.62505
Rhode Island,97101.5833,164410.4167,269949378.0,231.67265,136.82698333333335
Vermont,42087.1667,76558.3333,112961944.0,223.66664166666666,122.95846666666667
Virgin Islands,12712.75,26757.75,58562256.0,383.881375,182.38409166666668
Delaware,71464.5,146805.4167,210706049.0,245.70013333333333,119.60619166666666
District of Columbia,71742.8333,119103.5833,200333265.0,232.69835,140.16739166666667
Maryland,359112.25,684281.9167,987124236.0,229.06585,120.214125
New Jersey,407229.8333,817979.25,1115682640.0,228.307325,113.66248333333333
Pennsylvania,951410.5,1842945.0833,2673354132.0,234.15708333333333,120.88234166666666
Virginia,367230.5,775548.0833,1115536652.0,253.14179166666668,119.86540833333333
West Virginia,171913.4167,340307.6667,481164574.0,233.23978333333332,117.825875
Alabama,375918.8333,804336.0,1161155532.0,257.40386666666666,120.30166666666666
Florida,1690925.9167,3186536.8333,4783367429.0,235.73709166666666,125.09315833333334
Georgia,756157.6667,1625414.75,2540245442.0,279.9510333333333,130.23575833333334
Kentucky,308457.8333,654873.25,943688786.0,254.94808333333333,120.085425
Mississippi,244489.75,537369.8333,742934749.0,253.226275,115.21158333333334
North Carolina,731363.5833,1453826.8333,2140406972.0,243.88314166666666,122.6881
South Carolina,337213.1667,719977.3333,1066150932.0,263.47105833333336,123.40098333333333
Tennessee,512908.5,1047057.5833,1586711088.0,257.79631666666666,126.28333333333333
Illinois,976672.0,1878519.0,2930325381.0,250.0264,129.99271666666667
Indiana,297486.0,671985.6667,955393220.0,267.6297416666667,118.47886666666666
Iowa,172869.0833,365892.5,482469098.0,232.57923333333332,109.884075
Michigan,728586.3333,1375434.1667,2069172718.0,236.66524166666667,125.364825
Minnesota,222673.9167,453563.5833,601821006.0,225.225075,110.5727
Ohio,746747.0,1501795.25,2226190303.0,248.43200833333333,123.52939166666667
Wisconsin,343582.0833,691634.6667,877506140.0,212.832725,105.728525
Arizona,412988.9167,918727.6667,1335235066.0,269.425125,121.1127
Arkansas,170643.6667,388362.0833,510832029.0,249.46331666666666,109.61249166666667
Louisiana,429811.4167,928961.9167,1440110876.0,279.21370833333333,129.18639166666668
New Mexico,217355.8333,460533.8333,669640046.0,256.73724166666665,121.17098333333334
Oklahoma,273898.0833,603896.1667,879725084.0,267.65585,121.39574166666667
Texas,1646209.1667,3921277.5,5805152020.0,293.86464166666667,123.36864166666666
Utah,82772.0833,206298.6667,286288642.0,288.2298666666667,115.64489166666667
Colorado,221884.75,459247.3333,701946211.0,263.6301833333333,127.37258333333334
Kansas,108119.0,233777.5,318488850.0,245.47709166666667,113.52990833333334
Missouri,351512.5833,758918.1667,1116216424.0,264.62220833333333,122.566625
Montana,57589.3333,120888.5,172035838.0,248.94054166666666,118.59125833333333
Nebraska,78872.4167,175848.6667,241772391.0,255.44670833333333,114.57408333333333
North Dakota,25239.5833,53748.25,77842534.0,257.01208333333335,120.690025
South Dakota,41316.1667,93258.5,140613366.0,283.61248333333333,125.64839166666667
Wyoming,14101.6667,32838.5,46791729.0,276.514175,118.74205
Alaska,38631.5,89112.5833,191442132.0,412.96639166666665,179.02646666666666
American Samoa,1966116.0,4040968.0,549663747.0,279.5683,136.0228
Total,511684.0,907897.0,110687861.0,216.3207,121.9168
