,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,244926.75,431597.4167,685510011.0,233.2364,132.359075
Maine,98549.0833,189245.1667,254898802.0,215.54301666666666,112.24364166666666
Massachusetts,450363.5,779191.6667,1189716303.0,220.14000833333333,127.2383
New Hampshire,48037.1667,98464.4167,120552019.0,209.12976666666665,102.026725
New York,1635763.75,2968227.3333,4922406430.0,250.77003333333334,138.19714166666665
Rhode Island,100433.0833,171055.25,271959596.0,225.65571666666668,132.49110833333333
Vermont,42975.6667,79715.4167,116470075.0,225.845,121.75611666666667
Delaware,71098.9167,147558.9167,220683314.0,258.6576166666667,124.63005833333334
District of Columbia,75818.8333,134625.4167,210436410.0,231.293025,130.26045
Maryland,388957.25,744342.8333,1079151904.0,231.20619166666665,120.817075
New Jersey,440090.75,879987.0,1223052433.0,231.59095,115.82106666666667
Pennsylvania,950738.8333,1863835.75,2729024683.0,239.2021,122.01650833333333
Virginia,387632.5833,826353.5833,1169412644.0,251.400575,117.929
Virgin Islands,13068.0,27759.9167,56766573.0,361.994775,170.40929166666666
Alabama,399727.75,850804.0833,1254835320.0,261.602075,122.9068
Florida,1870739.0833,3454529.6667,5216754147.0,232.38383333333334,125.843325
Georgia,800670.0,1733473.0833,2663017763.0,277.1655583333333,128.019375
Kentucky,313475.8333,666264.4167,980976984.0,260.77953333333335,122.69615833333333
Mississippi,269081.9167,582658.3333,814420697.0,252.22204166666666,116.4806
North Carolina,761998.75,1568386.5833,2248946897.0,245.948225,119.49365
South Carolina,378328.25,805012.25,1222104228.0,269.1895666666667,126.5099
Tennessee,547849.5,1113230.9167,1672282240.0,254.37068333333335,125.18234166666667
Illinois,996092.3333,1914393.3333,3040976772.0,254.408875,132.37339166666666
Indiana,328688.25,741610.0,1068458926.0,270.88965,120.06074166666667
Michigan,777906.25,1473614.25,2167714845.0,232.21680833333335,122.58493333333334
Minnesota,231227.5,478782.6667,602563639.0,217.16118333333333,104.877725
Ohio,793923.0833,1608632.8333,2396032919.0,251.497175,124.12366666666667
Wisconsin,359932.9167,728076.5,922851050.0,213.66274166666668,105.62660833333334
Arkansas,191636.25,426068.5,577775082.0,251.246425,113.005125
Louisiana,422089.5,927168.0833,1494495292.0,295.058925,134.324375
New Mexico,216876.5833,471246.75,693426783.0,266.44446666666664,122.62273333333333
Oklahoma,276267.9167,612869.3333,885643482.0,267.1451083333333,120.4231
Texas,1588116.4167,3768471.6667,5308544560.0,278.55559166666666,117.389425
Colorado,225333.5,475690.3333,728042703.0,269.2463666666667,127.54143333333333
Iowa,178873.75,380705.0833,507597206.0,236.47834166666667,111.10901666666666
Kansas,114391.5833,253832.8333,342324968.0,249.38094166666667,112.38530833333333
Missouri,378373.4167,810690.0,1182957874.0,260.5358083333333,121.5999
Montana,54611.5833,116625.75,166365465.0,253.86169166666667,118.87416666666667
Nebraska,78481.5,175850.6667,240677417.0,255.556425,114.05388333333333
North Dakota,25261.5,54252.25,78700888.0,259.6206583333333,120.88728333333333
South Dakota,42233.75,95983.25,144590242.0,285.2975833333333,125.53426666666667
Alaska,34647.6667,82326.25,175483424.0,422.066475,177.63008333333335
American Samoa,428866.0,965046.0,118138021.0,275.466,122.417
Total,409272.0,717394.0,86224367.0,210.6774,120.1911
