,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,219816.8333,403466.4167,696670564.0,264.1103,143.8927
Maine,131153.3333,252860.0,376750999.0,239.3833,124.1632
Massachusetts,479829.75,861568.25,1369997551.0,237.9312,132.5101
New Hampshire,56354.3333,116894.5833,166472605.0,246.1695,118.6772
New York,1650098.6667,3076911.4167,5444101662.0,274.9382,147.445
Rhode Island,95281.8333,172845.75,289245852.0,252.9739,139.4528
Vermont,49349.75,96579.4167,141255732.0,238.5283,121.8822
Delaware,69564.1667,148257.0833,226577031.0,271.4245,127.3559
District of Columbia,79728.5833,141147.3333,233302973.0,243.8512,137.742
Maryland,360523.0,716379.1667,1104337614.0,255.2629,128.4629
New Jersey,406142.5,826133.5833,1321101694.0,271.0669,133.2615
Pennsylvania,869157.1667,1799208.5,2772898224.0,265.8608,128.4314
Puerto Rico,,,,,
Virginia,439924.0,913877.6667,1403720773.0,265.9021,128.0004
Virgin Islands,10559.25,24827.0833,52785665.0,416.5831,177.1777
West Virginia,164033.9167,346832.5,500402535.0,254.217,120.2316
Alabama,411745.0833,910243.8333,1390011732.0,281.3253,127.2564
Florida,1825813.4167,3353064.0833,5592221094.0,255.2388,138.9829
Georgia,879493.25,1912838.75,3119435907.0,295.5713,135.8991
Kentucky,402733.6667,849247.6667,1298611475.0,268.7077,127.4276
Mississippi,296507.5833,659872.25,980027716.0,275.4364,123.7648
North Carolina,785071.9167,1668588.1667,2430133033.0,257.9523,121.3667
South Carolina,410490.8333,869800.5833,1371335000.0,278.3933,131.384
Tennessee,641210.5,1316810.25,2089053032.0,271.4986,132.2041
Illinois,914286.5833,1869712.8333,3128689275.0,285.1667,139.4461
Indiana,401414.5833,908704.5,1444409807.0,299.8583,132.4605
Michigan,924643.25,1828384.25,2980301907.0,268.5993,135.835
Minnesota,264738.9167,538868.8333,749536081.0,235.9356,115.912
Ohio,873827.75,1807912.6667,3006931315.0,286.7586,138.6005
Wisconsin,398965.5,835312.3333,1167767096.0,243.9156,116.5
Arkansas,220095.0,502124.75,733396874.0,277.6819,121.7156
Louisiana,422679.5833,948758.25,1549558693.0,305.503,136.1041
New Mexico,193521.5833,438251.75,674066965.0,290.2635,128.1735
Oklahoma,279648.8333,614947.0833,947199555.0,282.2586,128.3579
Texas,1666361.75,4038440.1667,6006734649.0,300.3917,123.9491
Colorado,220707.3333,491629.6667,808505391.0,305.2706,137.0451
Iowa,190720.5833,408049.5,593443715.0,259.2989,121.1952
Kansas,143241.5,304719.4167,457478972.0,266.1467,125.1093
Missouri,441625.9167,947888.5833,1462076136.0,275.8889,128.538
Montana,58987.6667,125873.6667,193011254.0,272.6718,127.7811
Nebraska,77066.25,176073.1667,258674634.0,279.7102,122.4276
North Dakota,27268.5,58796.3333,90677717.0,277.1138,128.5195
South Dakota,45110.75,103845.8333,165488630.0,305.708,132.7999
Utah,113253.75,276890.0,404542100.0,297.6664,121.7517
Wyoming,14946.5,34346.9167,51769558.0,288.6381,125.6046
Alaska,37951.6667,91297.6667,186325119.0,409.1281,170.0711
American Samoa,,,,,
Arizona,484905.5,1123974.3333,1706601437.0,293.2876,126.5303
California,1779240.8333,3964220.5833,7090221357.0,332.0808,149.0461
Guam,14274.75,43726.9167,113301546.0,661.4333,215.9264
Hawaii,88454.6667,176822.5833,453331174.0,427.0843,213.6469
Idaho,100495.1667,233033.8333,361230209.0,299.5419,129.1766
Nevada,169147.0833,354899.75,525318612.0,258.8076,123.3491
Oregon,447337.8333,815221.3333,1253656139.0,233.5402,128.1509
Washington,580210.5,1108089.6667,1684648246.0,241.9593,126.6931
Outlying Areas,,,,,
